model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v4;i01;5;332;0.19;4.05;12.09;12.09;true;0.57;32432;39201;140944;13372;33346;107685;10;3,846.00;3,711.00;0.04;true;3846;false;false
AllConstraints;v4;i01;6;332;0.19;4.08;12.15;12.15;true;0.58;32432;39201;140944;13372;33346;107685;10;3,846.00;3,713.00;0.03;true;3846;false;false
AllConstraints;v4;i01;7;332;0.17;4.07;12.09;12.09;true;0.56;32432;39201;140944;13372;33346;107685;10;3,846.00;3,713.00;0.03;true;3846;false;false
AllConstraints;v4;i02;5;479;0.16;6.16;18.85;18.85;true;0.94;51650;63454;225427;17114;46390;152294;10;1,334.00;946.00;0.29;true;1334;false;false
AllConstraints;v4;i02;6;479;0.17;6.17;18.89;18.89;true;0.93;51650;63454;225427;17120;46412;152357;10;1,360.00;894.00;0.34;true;1360;false;false
AllConstraints;v4;i02;7;479;0.17;6.16;18.84;18.84;true;0.92;51650;63454;225427;17120;46412;152357;10;1,363.00;954.00;0.30;true;1363;false;false
AllConstraints;v4;i03;5;446;0.16;5.59;16.84;16.84;true;1.20;43838;55774;203558;17888;47090;155206;10;10,550.00;10,084.00;0.04;true;10550;false;false
AllConstraints;v4;i03;6;446;0.17;5.53;16.66;16.66;true;1.19;43838;55774;203558;17880;46947;154528;10;10,580.00;10,058.00;0.05;true;10580;false;false
AllConstraints;v4;i03;7;446;0.17;5.57;16.72;16.72;true;1.20;43838;55774;203558;17880;46947;154528;10;10,580.00;10,058.00;0.05;true;10580;false;false
AllConstraints;v4;i04;5;1639;0.17;19.82;59.66;59.66;true;3.48;167498;198673;691915;46864;151838;497153;10;2,317.00;1,394.00;0.40;true;2317;false;false
