model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v4;i01;5;332;0.189;4.05;12.09;12.09;true;0.57;32432;39201;140944;13372;33346;107685;10;3846.00;3711.00;0.0351;true;3846;false;false
AllConstraints;v4;i01;6;332;0.187;4.08;12.15;12.15;true;0.58;32432;39201;140944;13372;33346;107685;10;3846.00;3713.00;0.0346;true;3846;false;false
AllConstraints;v4;i01;7;332;0.169;4.07;12.09;12.09;true;0.56;32432;39201;140944;13372;33346;107685;10;3846.00;3713.00;0.0346;true;3846;false;false
AllConstraints;v4;i02;5;479;0.163;6.16;18.85;18.85;true;0.94;51650;63454;225427;17114;46390;152294;10;1334.00;946.00;0.2909;true;1334;false;false
AllConstraints;v4;i02;6;479;0.17;6.17;18.89;18.89;true;0.93;51650;63454;225427;17120;46412;152357;10;1360.00;894.00;0.3426;true;1360;false;false
AllConstraints;v4;i02;7;479;0.171;6.16;18.84;18.84;true;0.92;51650;63454;225427;17120;46412;152357;10;1363.00;954.00;0.3001;true;1363;false;false
AllConstraints;v4;i03;5;446;0.162;5.59;16.84;16.84;true;1.20;43838;55774;203558;17888;47090;155206;10;10550.00;10084.00;0.0442;true;10550;false;false
AllConstraints;v4;i03;6;446;0.172;5.53;16.66;16.66;true;1.19;43838;55774;203558;17880;46947;154528;10;10580.00;10058.00;0.0493;true;10580;false;false
AllConstraints;v4;i03;7;446;0.173;5.57;16.72;16.72;true;1.20;43838;55774;203558;17880;46947;154528;10;10580.00;10058.00;0.0493;true;10580;false;false
AllConstraints;v4;i04;5;1639;0.165;19.82;59.66;59.66;true;3.48;167498;198673;691915;46864;151838;497153;10;2317.00;1394.00;0.3984;true;2317;false;false
AllConstraints;v4;i04;6;1639;0.173;19.82;59.81;59.81;true;3.55;167498;198673;691915;46864;151838;497153;10;2317.00;1394.00;0.3984;true;2317;false;false
AllConstraints;v4;i04;7;1639;0.17;19.68;59.29;59.29;true;3.46;167498;198673;691915;46864;151838;497153;10;2317.00;1394.00;0.3984;true;2317;false;false
AllConstraints;v4;i05;5;5220;0.173;68.93;210.18;210.18;true;18.35;569553;659866;2484462;141658;518854;1791508;10;13736.00;12196.00;0.1121;true;13736;false;false
AllConstraints;v4;i05;6;5220;0.17;68.50;209.92;209.92;true;18.22;569553;659866;2484462;141658;518854;1791508;10;13736.00;12196.00;0.1121;true;13736;false;false
AllConstraints;v4;i05;7;5220;0.174;68.71;210.59;210.59;true;18.34;569553;659866;2484462;141658;518854;1791508;10;13736.00;12196.00;0.1121;true;13736;false;false
AllConstraints;v4;i06;5;2800;0.171;37.40;109.51;109.51;true;9.15;274704;331916;1240563;92492;290835;972661;10;10746.00;10453.00;0.0273;true;10746;false;false
AllConstraints;v4;i06;6;2800;0.18;37.13;109.02;109.02;true;9.16;274704;331916;1240563;92509;290849;972644;10;10780.00;10449.00;0.0307;true;10780;false;false
AllConstraints;v4;i06;7;2800;0.175;37.05;108.52;108.52;true;9.22;274704;331916;1240563;92509;290849;972644;10;10780.00;10449.00;0.0307;true;10780;false;false
AllConstraints;v4;i07;5;3957;0.18;47.72;146.83;146.83;true;11.77;407629;482498;1692853;105855;374643;1243625;10;8055.00;2059.00;0.7444;true;8055;false;false
AllConstraints;v4;i07;6;3957;0.178;47.56;146.32;146.32;true;11.71;407629;482498;1692853;105855;374643;1243625;10;8055.00;2059.00;0.7444;true;8055;false;false
AllConstraints;v4;i07;7;3957;0.175;47.45;146.05;146.05;true;11.61;407629;482498;1692853;105855;374643;1243625;10;9111.00;2049.00;0.7751;true;9111;false;false
AllConstraints;v4;i08;5;17421;0.187;227.05;686.32;686.32;true;44.67;1800217;2058187;7641746;448232;1819202;6209413;0;;1574.00;;;;false;false
