model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;bestObjective10m;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v1;i01;20;3906;0.194;150.62;-1.00;150.62;false;10.56;679717;1108166;3112565;107697;217095;630492;10;3861.00;3194.00;17.2753;3861.00;true;3861;false;false
AllConstraints;v1;i02;20;6833;0.141;275.81;-1.00;275.81;false;18.86;1191356;1981671;5481303;156757;331784;942638;10;1325.00;598.00;54.8679;1325.00;true;1325;false;false
AllConstraints;v1;i03;20;4721;0.156;211.10;-1.00;211.10;false;15.09;947095;1524242;4271645;160732;322126;930958;10;10555.00;9797.00;7.1814;10555.00;true;10555;false;false
AllConstraints;v1;i04;20;25081;0.169;1033.75;-1.00;1033.75;false;74.17;4350608;7517527;20890980;507448;1143987;3246149;10;4621.00;1038.00;77.5373;4621.00;true;4621;false;false
AllConstraints;v1;i05;20;85235;0.184;3767.91;-1.00;3767.91;false;329.69;14138811;25110715;69950029;1652816;3833022;10834108;0;-1.00;12103.00;-1.00;-1;false;-1;false;false
AllConstraints;v1;i06;20;46141;0.184;1971.53;-1.00;1971.53;false;143.69;7777933;13307498;36849383;946232;2136612;6113029;0;-1.00;10313.00;-1.00;-1;false;-1;false;false
AllConstraints;v1;i07;20;70182;0.171;3185.89;-1.00;3185.89;false;282.28;12729133;22102264;60976971;1231199;2921885;8176069;10;14055.00;2844.00;79.7652;14055.00;true;14055;false;false
AllConstraints;v1;i08;20;-1;0.201;-1.00;-1.00;-1.00;false;;;;;;;;0;-1.00;-1.00;-1.00;-1;false;-1;true;true
AllConstraints;v1;i09;20;74040;0.171;3377.70;-1.00;3377.70;false;294.25;13600234;23483168;64625446;1485495;3467515;9653969;0;-1.00;1883.00;-1.00;-1;false;-1;false;false
AllConstraints;v1;i10;20;91256;0.188;3978.05;-1.00;3978.05;false;349.23;16127625;27914298;77623028;1998141;4717174;13342418;0;-1.00;2490.00;-1.00;-1;false;-1;false;false
AllConstraints;v1;i11;20;-1;0.183;-1.00;-1.00;-1.00;false;;;;;;;;0;-1.00;-1.00;-1.00;-1;false;-1;true;true
AllConstraints;v1;i12;20;97799;0.194;4272.71;-1.00;4272.71;false;423.74;17407071;30070660;82713849;1473906;3482919;9809689;0;-1.00;2373.00;-1.00;-1;false;-1;false;false
AllConstraints;v1;i13;20;78890;0.183;3481.13;-1.00;3481.13;false;308.20;13577503;23543197;65418619;1567513;3552051;10031322;0;-1.00;8462.00;-1.00;-1;false;-1;false;false
AllConstraints;v1;i14;20;-1;0.187;-1.00;-1.00;-1.00;false;;;;;;;;0;-1.00;-1.00;-1.00;-1;false;-1;true;true
AllConstraints;v1;i15;20;-1;0.178;-1.00;-1.00;-1.00;false;;;;;;;;0;-1.00;-1.00;-1.00;-1;false;-1;true;true
AllConstraints;v1;i16;20;-1;0.199;-1.00;-1.00;-1.00;false;;;;;;;;0;-1.00;-1.00;-1.00;-1;false;-1;true;true
AllConstraints;v1;i17;20;-1;0.188;-1.00;-1.00;-1.00;false;;;;;;;;0;-1.00;-1.00;-1.00;-1;false;-1;true;true
AllConstraints;v1;i18;20;-1;0.192;-1.00;-1.00;-1.00;false;;;;;;;;0;-1.00;-1.00;-1.00;-1;false;-1;true;true
AllConstraints;v1;i19;20;-1;0.20;-1.00;-1.00;-1.00;false;;;;;;;;0;-1.00;-1.00;-1.00;-1;false;-1;true;true
AllConstraints;v1;i20;20;-1;0.178;-1.00;-1.00;-1.00;false;;;;;;;;0;-1.00;-1.00;-1.00;-1;false;-1;true;true
