model;version;instance;run;memoryMB;preprocessingTimeS;compileTimePassOneS;compileTimePassTwoS;totalCompileTimeS;compileOptimized;presolveTimeS;originalConstraints;originalVariables;originalCoefficients;presolvedConstraints;presolvedVariables;presolvedCoefficients;numberOfSolutions;bestObjective;bestBound;mipGap;isSolutionValid;objectiveByValidator;isCrashedCompile;isCrashedSolve
AllConstraints;v3;i01;1;1026;0.20;41.80;-1.00;41.80;false;6.15;199430;272661;879949;28902;71391;242067;10;3912.00;3567.00;0.0882;true;3912;false;false
AllConstraints;v3;i02;1;1612;0.16;64.98;-1.00;64.98;false;7.87;286970;426378;1373514;45923;112791;386684;10;1346.00;969.00;0.2801;true;1346;false;false
AllConstraints;v3;i03;1;1561;0.166;58.87;-1.00;58.87;false;9.77;290699;402672;1320229;44888;106053;377942;10;10565.00;10050.00;0.0487;true;10565;false;false
AllConstraints;v3;i04;1;4205;0.175;161.28;-1.00;161.28;false;26.60;687315;1151434;3836761;148006;330689;1231746;10;2779.00;1153.00;0.5851;true;2779;false;false
AllConstraints;v3;i05;1;12095;0.221;535.41;-1.00;535.41;false;103.05;1998983;3392458;12265543;521981;1223013;5062177;0;;12138.00;;;;false;false
AllConstraints;v3;i06;1;9158;0.173;363.39;-1.00;363.39;false;67.73;1543181;2437164;8837082;297326;648018;2623477;0;;10304.00;;;;false;false
AllConstraints;v3;i07;1;8821;0.176;389.41;-1.00;389.41;false;54.97;1438134;2598325;9236394;324932;829329;3253964;0;;1731.00;;;;false;false
AllConstraints;v3;i08;1;41380;0.184;1970.52;-1.00;1970.52;false;408.74;6802956;12271557;50365600;1570576;3920272;17416227;0;;1779.00;;;;false;false
AllConstraints;v3;i09;1;9728;0.185;419.91;-1.00;419.91;false;65.83;1577766;2757372;9910287;407700;968159;3878624;0;;1744.00;;;;false;false
AllConstraints;v3;i10;1;16163;0.201;721.93;-1.00;721.93;false;120.49;2684318;4383283;17313298;600815;1312539;5974272;0;;;;;;false;false
AllConstraints;v3;i11;1;14444;0.20;675.89;-1.00;675.89;false;97.94;2410315;4423611;16953756;595853;1515789;6345479;0;;;;;;false;false
AllConstraints;v3;i12;1;12386;0.181;556.23;-1.00;556.23;false;77.21;2074079;3621526;13553333;417092;1014182;4196239;0;;6062.00;;;;false;false
AllConstraints;v3;i13;1;11120;0.18;487.59;-1.00;487.59;false;80.54;1855954;3120049;11687678;477432;1071691;4477595;0;;7154.00;;;;false;false
AllConstraints;v3;i14;1;24249;0.184;1230.81;-1.00;1230.81;false;197.55;4252008;8416097;33746314;1114613;2996347;12478213;0;;;;;;false;false
AllConstraints;v3;i15;1;19933;0.181;926.44;-1.00;926.44;false;182.78;3284625;6117766;24276822;979140;2509567;10649640;0;;5892.00;;;;false;false
AllConstraints;v3;i16;1;22445;0.186;1058.08;-1.00;1058.08;false;150.91;3697777;7009608;27961727;795640;2103902;8778583;0;;3905.00;;;;false;false
AllConstraints;v3;i17;1;0;0.194;-1.00;-1.00;-1.00;false;;;;;;;;0;;;;;;true;true
AllConstraints;v3;i18;1;62948;0.182;3239.11;-1.00;3239.11;false;;10559835;20518828;91479872;;;;0;;;;;;false;true
AllConstraints;v3;i19;1;0;0.196;-1.00;-1.00;-1.00;false;;;;;;;;0;;;;;;true;true
AllConstraints;v3;i20;1;24252;0.188;1128.82;-1.00;1128.82;false;180.98;3954445;7280359;30725604;783656;1997617;8774007;0;;;;;;false;false
