Instance;GIPS Preprocessing Time Mean;GIPS Preprocessing Time StdDev;MZ Preprocessing Time Mean;MZ Preprocessing Time StdDev;Preprocessing Time R;Preprocessing Time R Mean;Preprocessing Time R StdDev;GIPS Build Time Mean;GIPS Build Time StdDev;MZ Build Time Mean;MZ Build Time StdDev;Build Time R;Build Time R Mean;Build Time R StdDev;GIPS Constraints;MZ Constraints;Constraints R;Constraints R Mean;Constraints R StdDev;GIPS Variables;MZ Variables;Variables R;Variables R Mean;Variables R StdDev;GIPS NonZeros;MZ NonZeros;NonZeros R;NonZeros R Mean;NonZeros R StdDev;GIPS Presolve Time Mean;GIPS Presolve Time StdDev;MZ Presolve Time Mean;MZ Presolve Time StdDev;Presolve Time R;Presolve Time R Mean;Presolve Time R StdDev;GIPS Constraints Presolved Mean;GIPS Constraints Presolved StdDev;MZ Constraints Presolved Mean;MZ Constraints Presolved StdDev;Constraints Presolved R;Constraints Presolved R Mean;Constraints Presolved R StdDev;GIPS Variables Presolved Mean;GIPS Variables Presolved StdDev;MZ Variables Presolved Mean;MZ Variables Presolved StdDev;Variables Presolved R;Variables Presolved R Mean;Variables Presolved R StdDev;GIPS NonZeros Presolved Mean;GIPS NonZeros Presolved StdDev;MZ NonZeros Presolved Mean;MZ NonZeros Presolved StdDev;NonZeros Presolved R;NonZeros Presolved R Mean;NonZeros Presolved R StdDev
i01;0.2265;0.0033;0.1817;0.009;1.2466;;;1.6364;0.0216;12.11;0.0283;0.1351;;;108532.00;32432.00;3.3464;;;55256.00;39201.00;1.4096;;;358677.00;140944.00;2.5448;;;0.8633;0.0125;0.57;0.0082;1.5146;;;54836.00;0.00;13372.00;0.00;4.1008;;;31302.00;0.00;33346.00;0.00;0.9387;;;254794.6667;6.5997;107685.00;0.00;2.3661;;
i02;0.2341;0.0009;0.168;0.0036;1.3935;;;1.6735;0.0295;18.86;0.0216;0.0887;;;111205.00;51650.00;2.153;;;57081.00;63454.00;0.8996;;;382671.00;225427.00;1.6975;;;0.9633;0.0047;0.93;0.0082;1.0358;;;59990.00;0.00;17118.00;2.8284;3.5045;;;35180.00;0.00;46404.6667;10.3709;0.7581;;;277688.00;0.00;152336.00;29.6985;1.8229;;
i03;0.2639;0.0014;0.169;0.005;1.5615;;;1.8194;0.0424;16.74;0.0748;0.1087;;;129355.00;43838.00;2.9508;;;66175.00;55774.00;1.1865;;;428057.00;203558.00;2.1029;;;1.1033;0.0047;1.1967;0.0047;0.922;;;62936.00;0.00;17882.6667;3.7712;3.5194;;;37641.3333;0.4714;46994.6667;67.4108;0.801;;;292258.6667;12.4989;154754.00;319.6123;1.8885;;
i04;0.455;0.0051;0.1693;0.0033;2.6875;;;5.4044;0.0939;59.5867;0.2185;0.0907;;;455421.00;167498.00;2.719;;;231939.00;198673.00;1.1674;;;1709257.00;691915.00;2.4703;;;8.33;0.0374;3.4967;0.0386;2.3822;;;299869.00;0.00;46864.00;0.00;6.3987;;;165430.00;0.00;151838.00;0.00;1.0895;;;1389877.00;0.00;497153.00;0.00;2.7957;;
i05;1.2437;0.0626;0.1723;0.0017;7.2182;;;18.8723;0.3847;210.23;0.2758;0.0898;;;1732122.00;569553.00;3.0412;;;877976.00;659866.00;1.3305;;;6677011.00;2484462.00;2.6875;;;48.1533;0.1862;18.3033;0.0591;2.6309;;;1176420.00;0.00;141658.00;0.00;8.3046;;;640364.00;0.00;518854.00;0.00;1.2342;;;5504309.00;26.8701;1791508.00;0.00;3.0724;;
i06;0.9416;0.0135;0.1753;0.0037;5.3714;;;10.3388;0.1478;109.0167;0.4042;0.0948;;;944803.00;274704.00;3.4393;;;479290.00;331916.00;1.444;;;3451061.00;1240563.00;2.7819;;;20.29;0.1042;9.1767;0.0309;2.211;;;562300.6667;0.4714;92503.3333;8.0139;6.0787;;;312756.00;0.00;290844.3333;6.5997;1.0753;;;2631213.3333;15.7551;972649.6667;8.0139;2.7052;;
i07;0.7789;0.0364;0.1777;0.0021;4.3832;;;12.5503;0.1801;146.40;0.3234;0.0857;;;1132974.00;407629.00;2.7794;;;581442.00;482498.00;1.2051;;;4573533.00;1692853.00;2.7017;;;27.91;0.192;11.6967;0.066;2.3861;;;815535.00;0.00;105855.00;0.00;7.7043;;;451720.00;0.00;374643.00;0.00;1.2057;;;3851176.00;0.00;1243625.00;0.00;3.0967;;
i08;2.8325;0.02;0.1803;0.005;15.7099;;;69.7427;0.2441;686.1867;0.6438;0.1016;;;6428321.00;1800217.00;3.5709;;;3256817.00;2058187.00;1.5824;;;26134669.00;7641746.00;3.42;;;208.0533;0.5677;44.6867;0.0704;4.6558;;;4699449.00;0.00;448232.00;0.00;10.4844;;;2528029.00;0.00;1819202.00;0.00;1.3896;;;22255205.00;0.00;6209413.00;0.00;3.5841;;
i09;1.2167;0.0327;0.175;0.0036;6.9526;;;18.8972;0.4596;175.3633;0.4361;0.1078;;;1783732.00;466187.00;3.8262;;;905735.00;547811.00;1.6534;;;7150427.00;1982632.00;3.6065;;;50.8533;0.3526;11.82;0.0668;4.3023;;;1244732.00;0.00;132430.00;0.00;9.3992;;;676745.00;0.00;453245.00;0.00;1.4931;;;5932124.00;0.00;1507833.00;0.00;3.9342;;
i10;1.4111;0.017;0.178;0.005;7.9275;;;20.4224;0.2208;213.42;0.5604;0.0957;;;1856359.00;560375.00;3.3127;;;945411.00;683369.00;1.3835;;;6933959.00;2550805.00;2.7183;;;49.03;0.2041;23.3367;0.1694;2.101;;;1189137.00;0.00;168502.6667;1.8856;7.0571;;;662904.00;0.00;632982.00;62.2254;1.0473;;;5569900.00;0.00;2158426.3333;173.0055;2.5805;;
