Instance;Model Objective Mean;Model Objective StdDev;Model Objective Min;Model Objective 10m Min;Official Objective Min;Objective R;Objective R Mean;Objective R StdDev;Solutions Obtained;Memory Errors
i01;3846.00;0.00;3846.00;3846.00;3842;1.001;;;3;0
i02;1352.3333;13.0213;1334.00;1360.00;1264;1.0554;;;3;0
i03;10570.00;14.1421;10550.00;10555.00;10490;1.0057;;;3;0
i04;2317.00;0.00;2317.00;2708.00;1884;1.2298;;;3;0
i05;13736.00;0.00;13736.00;13736.00;12760;1.0765;;;3;0
i06;10768.6667;16.0278;10746.00;10913.00;10671;1.007;;;3;0
i07;8407.00;497.8032;8055.00;8055.00;5026;1.6027;;;3;0
i08;--;--;--;--;6291;--;;;0;0
i09;12376.3333;590.3724;11833.00;11850.00;6682;1.7709;;;3;0
i10;25066.6667;172.2563;24830.00;24830.00;20820;1.1926;;;3;0
i11;30029.00;14.1421;30019.00;30019.00;25938;1.1573;;;3;0
i12;15799.3333;79.0457;15713.00;15713.00;12430;1.2641;;;3;0
i13;25047.00;24.3447;25014.00;25014.00;17328;1.4436;;;3;0
i14;22473.6667;668.4516;22001.00;22001.00;9746;2.2574;;;3;0
i15;27180.00;832.4674;26569.00;26569.00;12486;2.1279;;;3;0
i16;76675.00;0.00;76675.00;--;10139;7.5624;;;1;0
i17;--;--;--;--;40535;--;;;0;0
i18;112930.00;1712.1193;110593.00;--;37660;2.9366;;;3;0
i19;--;--;--;--;44587;--;;;0;3
i20;46082.00;0.00;46082.00;46087.00;29098;1.5837;;;1;0
i21;249033.3333;2662.0213;247151.00;--;24703;10.0049;;;3;0
i22;--;--;--;--;47861;--;;;0;0
i23;--;--;--;--;37550;--;;;0;1
i24;--;--;--;--;33221;--;;;0;3
i25;123949.00;429.9209;123645.00;--;11517;10.7359;;;3;0
i26;--;--;--;--;64613;--;;;0;3
i27;--;--;--;--;51828;--;;;0;3
i28;--;--;--;--;75172;--;;;0;0
i29;113871.00;1411.3851;111875.00;--;12475;8.9679;;;3;0
i30;--;--;--;--;37943;--;;;0;0
final;;;;;;;3.0492;3.2151;;
