Instance;GIPS Best Objective Mean;GIPS Best Objective StdDev;MZ Best Objective Mean;MZ Best Objective StdDev;Best Objective R;Best Objective R Mean;Best Objective R StdDev;GIPS Best Bound Mean;GIPS Best Bound StdDev;MZ Best Bound Mean;MZ Best Bound StdDev;GIPS Gap;MZ Gap;Gap R;Gap R Mean;Gap R StdDev;GIPS Solutions Mean;GIPS Solutions StdDev;MZ Solutions Mean;MZ Solutions StdDev;Solutions R;Solutions R Mean;Solutions R StdDev
i01;3868.6667;15.9652;3846.00;--;1.0059;;;3749.00;1.633;3712.3333;0.9428;3.09\%;3.48\%;0.8895;;;10.00;0.00;10.00;0.00;1.00;;
i02;1355.00;20.0167;1352.3333;13.0213;1.002;;;1040.00;25.4689;931.3333;26.5999;23.25\%;31.12\%;0.7473;;;10.00;0.00;10.00;0.00;1.00;;
i03;10553.3333;2.357;10570.00;14.1421;0.9984;;;10168.3333;2.8674;10066.6667;12.2565;3.65\%;4.76\%;0.7662;;;10.00;0.00;10.00;0.00;1.00;;
i04;2151.00;82.8533;2317.00;--;0.9284;;;1214.6667;1.2472;1394.00;--;43.44\%;39.84\%;1.0905;;;10.00;0.00;10.00;0.00;1.00;;
i05;13176.00;57.3934;13736.00;--;0.9592;;;12049.0022;317.1649;12196.00;--;8.56\%;11.21\%;0.7637;;;10.00;0.00;10.00;0.00;1.00;;
i06;10699.3333;6.549;10768.6667;16.0278;0.9936;;;10455.3333;1.6997;10450.3333;1.8856;2.28\%;2.96\%;0.7715;;;10.00;0.00;10.00;0.00;1.00;;
i07;5758.6667;39.2032;8407.00;497.8032;0.685;;;2018.6713;6.2348;2055.6667;4.714;64.94\%;75.46\%;0.8606;;;10.00;0.00;10.00;0.00;1.00;;
i08;6691249.00;--;--;--;--;;;--;--;1574.00;--;--;--;--;;;0.3333;0.4714;0.00;0.00;--;;
i09;7864.00;142.4944;12376.3333;590.3724;0.6354;;;2969.00;1.4142;3624.00;8.0416;62.23\%;70.65\%;0.8808;;;10.00;0.00;10.00;0.00;1.00;;
i10;22938.3333;115.7824;25066.6667;172.2563;0.9151;;;15116.6667;4.714;14363.3333;81.7856;34.10\%;42.69\%;0.7986;;;10.00;0.00;10.00;0.00;1.00;;
i11;29246.6667;1614.7372;30029.00;14.1421;0.9739;;;24957.6667;19.9053;25164.6667;1.8856;14.41\%;16.20\%;0.8894;;;10.00;0.00;10.00;0.00;1.00;;
i12;16189.3333;479.1968;15799.3333;79.0457;1.0247;;;6442.00;5.7155;6480.00;7.2572;60.17\%;58.98\%;1.0201;;;10.00;0.00;10.00;0.00;1.00;;
i13;22462.3333;1091.4688;25047.00;24.3447;0.8968;;;12693.3333;230.9897;8915.6667;75.5484;43.40\%;64.40\%;0.6739;;;10.00;0.00;10.00;0.00;1.00;;
i14;9706406.6667;6849002.8169;22473.6667;668.4516;431.9013;;;5034.00;--;5322.00;--;91.77\%;76.30\%;1.2028;;;4.00;4.2426;10.00;0.00;0.40;;
i15;25132.00;5428.4622;27180.00;832.4674;0.9247;;;1838.00;555.3563;5931.00;--;92.79\%;78.16\%;1.1872;;;10.00;0.00;10.00;0.00;1.00;;
i16;--;--;76675.00;--;--;;;1415.3333;319.8503;4068.00;--;--;94.69\%;--;;;0.00;0.00;1.00;0.00;0.00;;
i17;--;--;--;--;--;;;--;--;17640.00;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i18;--;--;112930.00;1712.1193;--;;;--;--;35983.00;--;--;68.13\%;--;;;0.00;0.00;1.00;0.00;0.00;;
i19;--;--;--;--;--;;;--;--;--;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i20;--;--;46082.00;--;--;;;21043.0011;3117.6346;20500.00;138.5929;--;55.94\%;--;;;0.00;0.00;10.00;0.00;0.00;;
i21;--;--;249033.3333;2662.0213;--;;;--;--;8871.6667;923.0101;--;96.44\%;--;;;0.00;0.00;1.00;0.00;0.00;;
i22;--;--;--;--;--;;;--;--;25120.3333;11.1455;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i23;--;--;--;--;--;;;--;--;205.00;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i24;--;--;--;--;--;;;--;--;--;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i25;--;--;123949.00;429.9209;--;;;--;--;4488.00;--;--;96.38\%;--;;;0.00;0.00;1.00;0.00;0.00;;
i26;--;--;--;--;--;;;--;--;--;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i27;--;--;--;--;--;;;--;--;--;--;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i28;--;--;--;--;--;;;--;--;46999.3333;26711.9015;--;--;--;;;0.00;0.00;0.00;0.00;--;;
i29;--;--;113871.00;1411.3851;--;;;--;--;6412.3666;0.4479;--;94.37\%;--;;;0.00;0.00;1.00;0.00;0.00;;
i30;--;--;--;--;--;;;--;--;8213.00;8761.0101;--;--;--;;;0.00;0.00;0.00;0.00;--;;
final;;;;;;31.7032;110.995;;;;;;;;0.8959;0.1614;;;;;;0.67;0.4573
