Instance;N Constraints;C Constraints;Constraints R;Constraints R Mean;Constraints R StdDev;N Variables;C Variables;Variables R;Variables R Mean;Variables R StdDev;N NonZeros;C NonZeros;NonZeros R;NonZeros R Mean;NonZeros R StdDev;N Memory;C Memory;Memory R;Memory R Mean;Memory R StdDev;N Build Time Mean;N Build Time StdDev;C Build Time Mean;C Build Time StdDev;Build Time R;Build Time R Mean;Build Time R StdDev
i01;679717.00;32432.00;20.9582;;;1108166.00;39201.00;28.2688;;;3112565.00;140944.00;22.0837;;;3906.00;332.00;11.7651;;;150.62;0.00;12.11;0.0283;12.4377;;
i02;1191356.00;51650.00;23.0659;;;1981671.00;63454.00;31.23;;;5481303.00;225427.00;24.3152;;;6833.00;479.00;14.2651;;;275.81;0.00;18.86;0.0216;14.6241;;
i03;947095.00;43838.00;21.6044;;;1524242.00;55774.00;27.3289;;;4271645.00;203558.00;20.9849;;;4721.00;446.00;10.5852;;;211.10;0.00;16.74;0.0748;12.6105;;
i04;4350608.00;167498.00;25.9741;;;7517527.00;198673.00;37.8387;;;20890980.00;691915.00;30.193;;;25081.00;1639.00;15.3026;;;1033.75;0.00;59.5867;0.2185;17.3487;;
i05;14138811.00;569553.00;24.8244;;;25110715.00;659866.00;38.0543;;;69950029.00;2484462.00;28.155;;;85235.00;5220.00;16.3285;;;3767.91;0.00;210.23;0.2758;17.9228;;
i06;7777933.00;274704.00;28.3139;;;13307498.00;331916.00;40.093;;;36849383.00;1240563.00;29.7038;;;46141.00;2800.00;16.4789;;;1971.53;0.00;109.0167;0.4042;18.0847;;
i07;12729133.00;407629.00;31.2273;;;22102264.00;482498.00;45.808;;;60976971.00;1692853.00;36.0202;;;70182.00;3957.00;17.7362;;;3185.89;0.00;146.40;0.3234;21.7615;;
i08;--;1800217.00;--;;;--;2058187.00;--;;;--;7641746.00;--;;;--;17421.00;--;;;--;0.00;686.1867;0.6438;--;;
i09;13600234.00;466187.00;29.1733;;;23483168.00;547811.00;42.8673;;;64625446.00;1982632.00;32.5958;;;74040.00;4429.00;16.7171;;;3377.70;0.00;175.3633;0.4361;19.2612;;
i10;16127625.00;560375.00;28.7801;;;27914298.00;683369.00;40.8481;;;77623028.00;2550805.00;30.4308;;;91256.00;5412.00;16.8618;;;3978.05;0.00;213.42;0.5604;18.6395;;
i11;--;725020.00;--;;;--;840833.00;--;;;--;2947515.00;--;;;--;6524.00;--;;;--;0.00;269.8467;1.5984;--;;
i12;17407071.00;485034.00;35.8884;;;30070660.00;603960.00;49.7892;;;82713849.00;2062123.00;40.111;;;97799.00;5116.00;19.1163;;;4272.71;0.00;193.4567;0.7476;22.0861;;
i13;13577503.00;506051.00;26.8303;;;23543197.00;637858.00;36.9098;;;65418619.00;2284307.00;28.6383;;;78890.00;5117.00;15.4172;;;3481.13;0.00;188.87;0.3966;18.4314;;
i14;--;1420301.00;--;;;--;1690460.00;--;;;--;5710167.00;--;;;--;13509.00;--;;;--;0.00;540.80;2.1785;--;;
i15;--;1168837.00;--;;;--;1380804.00;--;;;--;4897581.00;--;;;--;11046.00;--;;;--;0.00;437.07;0.1393;--;;
final;;;;26.9673;4.1929;;;;38.0942;6.6855;;;;29.3847;5.4178;;;;15.5067;2.3881;;;;;;17.5644;3.0565
