Instance;Model Objective Mean;Model Objective StdDev;Validator Objective Mean;Validator Objective StdDev;Objective R;Objective R Mean;Objective R StdDev;Solutions Mean;Solutions StdDev
i01;3846.00;--;3846.00;--;1.00;;;10.00;0.00
i02;1352.3333;13.0213;1352.3333;13.0213;1.00;;;10.00;0.00
i03;10570.00;14.1421;10570.00;14.1421;1.00;;;10.00;0.00
i04;2317.00;--;2317.00;--;1.00;;;10.00;0.00
i05;13736.00;--;13736.00;--;1.00;;;10.00;0.00
i06;10768.6667;16.0278;10768.6667;16.0278;1.00;;;10.00;0.00
i07;8407.00;497.8032;8407.00;497.8032;1.00;;;10.00;0.00
i08;--;--;--;--;--;;;0.00;0.00
i09;12376.3333;590.3724;12376.3333;590.3724;1.00;;;10.00;0.00
i10;25066.6667;172.2563;25066.6667;172.2563;1.00;;;10.00;0.00
i11;30029.00;14.1421;30029.00;14.1421;1.00;;;10.00;0.00
i12;15799.3333;79.0457;15796.00;74.6503;1.0002;;;10.00;0.00
i13;25047.00;24.3447;25047.00;24.3447;1.00;;;10.00;0.00
i14;22473.6667;668.4516;22473.6667;668.4516;1.00;;;10.00;0.00
i15;27180.00;832.4674;27180.00;832.4674;1.00;;;10.00;0.00
i16;76675.00;--;25803.00;--;2.9716;;;1.00;0.00
i17;--;--;--;--;--;;;0.00;0.00
i18;112930.00;1712.1193;59817.3333;1391.5469;1.8879;;;1.00;0.00
i19;--;--;--;--;--;;;0.00;0.00
i20;46082.00;--;46079.00;--;1.0001;;;10.00;0.00
i21;249033.3333;2662.0213;65244.6667;1340.2031;3.8169;;;1.00;0.00
i22;--;--;--;--;--;;;0.00;0.00
i23;--;--;--;--;--;;;0.00;0.00
i24;--;--;--;--;--;;;0.00;0.00
i25;123949.00;429.9209;33224.6667;460.5622;3.7306;;;1.00;0.00
i26;--;--;--;--;--;;;0.00;0.00
i27;--;--;--;--;--;;;0.00;0.00
i28;--;--;--;--;--;;;0.00;0.00
i29;113871.00;1411.3851;63508.6667;1066.7884;1.793;;;1.00;0.00
i30;--;--;--;--;--;;;0.00;0.00
final;;;;;;1.46;0.9073;;
