Instance;GIPS Start Constraints Mean;GIPS Start Constraints StdDev;GIPS Preso Constraints Mean;GIPS Preso Constraints StdDev;Constraints R;Constraints Mean;Constraints StdDev;GIPS Start Variables Mean;GIPS Start Variables StdDev;GIPS Preso Variables Mean;GIPS Preso Variables StdDev;Variables R;Variables Mean;Variables StdDev;GIPS Start Coef Mean;GIPS Start Coef StdDev;GIPS Preso Coef Mean;GIPS Preso Coef StdDev;Coef R;Coef Mean;Coef StdDev;GIPS Presolve Time Mean;GIPS Presolve Time StdDev
i01;108532.00;0.00;54836.00;0.00;1.9792;;;55256.00;0.00;31302.00;0.00;1.7653;;;358677.00;0.00;254794.6667;6.5997;1.4077;;;0.8633;0.0125
i02;111205.00;0.00;59990.00;0.00;1.8537;;;57081.00;0.00;35180.00;0.00;1.6225;;;382671.00;0.00;277688.00;0.00;1.3781;;;0.9633;0.0047
i03;129355.00;0.00;62936.00;0.00;2.0553;;;66175.00;0.00;37641.3333;0.4714;1.758;;;428057.00;0.00;292258.6667;12.4989;1.4647;;;1.1033;0.0047
i04;455421.00;0.00;299869.00;0.00;1.5187;;;231939.00;0.00;165430.00;0.00;1.402;;;1709257.00;0.00;1389877.00;0.00;1.2298;;;8.33;0.0374
i05;1732122.00;0.00;1176420.00;0.00;1.4724;;;877976.00;0.00;640364.00;0.00;1.3711;;;6677011.00;0.00;5504309.00;26.8701;1.2131;;;48.1533;0.1862
i06;944803.00;0.00;562300.6667;0.4714;1.6802;;;479290.00;0.00;312756.00;0.00;1.5325;;;3451061.00;0.00;2631213.3333;15.7551;1.3116;;;20.29;0.1042
i07;1132974.00;0.00;815535.00;0.00;1.3892;;;581442.00;0.00;451720.00;0.00;1.2872;;;4573533.00;0.00;3851176.00;0.00;1.1876;;;27.91;0.192
i08;6428321.00;0.00;4699449.00;0.00;1.3679;;;3256817.00;0.00;2528029.00;0.00;1.2883;;;26134669.00;0.00;22255205.00;0.00;1.1743;;;208.0533;0.5677
i09;1783732.00;0.00;1244732.00;0.00;1.433;;;905735.00;0.00;676745.00;0.00;1.3384;;;7150427.00;0.00;5932124.00;0.00;1.2054;;;50.8533;0.3526
i10;1856359.00;0.00;1189137.00;0.00;1.5611;;;945411.00;0.00;662904.00;0.00;1.4262;;;6933959.00;0.00;5569900.00;0.00;1.2449;;;49.03;0.2041
i11;2901465.00;0.00;2174422.00;0.00;1.3344;;;1470020.00;0.00;1161863.00;0.00;1.2652;;;11815901.00;0.00;10217158.00;22.6274;1.1565;;;91.42;0.2551
i12;1847823.00;0.00;1246807.00;0.00;1.482;;;944509.00;0.00;687064.00;0.00;1.3747;;;7341060.00;0.00;5874639.00;0.00;1.2496;;;50.4033;0.1862
i13;1621810.00;0.00;1055617.00;0.00;1.5364;;;847019.00;0.00;624657.00;0.00;1.356;;;6464156.00;0.00;5109038.00;0.00;1.2652;;;40.2567;0.1812
i14;4241975.00;0.00;3373588.00;0.00;1.2574;;;2157884.00;0.00;1799682.00;0.00;1.199;;;18017188.00;0.00;15868252.00;0.00;1.1354;;;158.10;1.2703
i15;3749900.00;0.00;2769775.00;0.00;1.3539;;;1928981.00;0.00;1537434.00;0.00;1.2547;;;15717280.00;0.00;13261711.00;0.00;1.1852;;;128.8767;0.2843
i16;3304908.00;0.00;2426477.00;0.00;1.362;;;1684642.00;0.00;1310876.00;0.00;1.2851;;;13663492.00;0.00;11384709.00;0.00;1.2002;;;102.59;0.5696
i17;26095872.00;0.00;--;--;--;;;13258694.00;0.00;--;--;--;;;109446200.00;0.00;--;--;--;;;--;--
i18;9281278.00;0.00;7291990.00;0.00;1.2728;;;4708224.00;0.00;3880456.00;0.00;1.2133;;;39139673.00;0.00;34352526.00;0.00;1.1394;;;365.0433;2.1639
i19;37498644.00;0.00;30523229.00;0.00;1.2285;;;19087207.00;0.00;16261373.00;0.00;1.1738;;;164352455.00;0.00;--;--;--;;;1235.69;0.00
i20;3124066.00;0.00;2096704.00;0.00;1.49;;;1607766.00;0.00;1162043.00;0.00;1.3836;;;12921916.00;0.00;9963727.00;0.00;1.2969;;;104.84;0.5853
i21;20438120.00;0.00;17151031.00;924267.00;1.1917;;;10427837.00;0.00;9421996.50;678465.50;1.1068;;;87189885.00;0.00;--;--;--;;;315.125;236.065
i22;--;--;--;--;--;;;--;--;--;--;--;;;--;--;--;--;--;;;--;--
i23;35001665.00;0.00;--;--;--;;;17739497.00;0.00;--;--;--;;;153236524.00;0.00;--;--;--;;;--;--
i24;--;--;--;--;--;;;--;--;--;--;--;;;--;--;--;--;--;;;--;--
i25;18395625.00;0.00;15297299.00;0.00;1.2025;;;9363321.00;0.00;8122669.00;0.00;1.1527;;;80776962.00;0.00;--;--;--;;;615.1833;0.3866
i26;--;--;--;--;--;;;--;--;--;--;--;;;--;--;--;--;--;;;--;--
i27;--;--;--;--;--;;;--;--;--;--;--;;;--;--;--;--;--;;;--;--
i28;27534270.00;0.00;--;--;--;;;13985830.00;0.00;--;--;--;;;120115393.00;0.00;--;--;--;;;--;--
i29;19256999.00;0.00;15968095.00;1.4142;1.206;;;9879598.00;0.00;8633531.6667;0.4714;1.1443;;;85217192.00;0.00;75600326.00;0.00;1.1272;;;676.0433;49.0844
i30;26803741.00;0.00;--;--;--;;;13649936.00;0.00;--;--;--;;;116243195.00;0.00;--;--;--;;;--;--
final;;;;;;1.4649;0.2366;;;;;;1.35;0.1782;;;;;;;;;
