Instance;N Constraints;C Constraints;Constraints R;Constraints Mean;Constraints StdDev;N Variables;C Variables;Variables R;Variables Mean;Variables StdDev;N Memory;C Memory;Memory R;Memory Mean;Memory StdDev;N Build Time Mean;N Build Time StdDev;C Build Time Mean;C Build Time StdDev;Build Time R;Build Time Mean;Build Time StdDev
i01;199430.00;32432.00;6.1492;;;272661.00;39201.00;6.9555;;;1026.00;332.00;3.0904;;;41.80;0.00;12.11;0.0283;3.4517;;
i02;286970.00;51650.00;5.5561;;;426378.00;63454.00;6.7195;;;1612.00;479.00;3.3653;;;64.98;0.00;18.86;0.0216;3.4454;;
i03;290699.00;43838.00;6.6312;;;402672.00;55774.00;7.2197;;;1561.00;446.00;3.50;;;58.87;0.00;16.74;0.0748;3.5167;;
i04;687315.00;167498.00;4.1034;;;1151434.00;198673.00;5.7956;;;4205.00;1639.00;2.5656;;;161.28;0.00;59.5867;0.2185;2.7066;;
i05;1998983.00;569553.00;3.5097;;;3392458.00;659866.00;5.1411;;;12095.00;5220.00;2.317;;;535.41;0.00;210.23;0.2758;2.5468;;
i06;1543181.00;274704.00;5.6176;;;2437164.00;331916.00;7.3427;;;9158.00;2800.00;3.2707;;;363.39;0.00;109.0167;0.4042;3.3333;;
i07;1438134.00;407629.00;3.528;;;2598325.00;482498.00;5.3852;;;8821.00;3957.00;2.2292;;;389.41;0.00;146.40;0.3234;2.6599;;
i08;6802956.00;1800217.00;3.779;;;12271557.00;2058187.00;5.9623;;;41380.00;17421.00;2.3753;;;1970.52;0.00;686.1867;0.6438;2.8717;;
i09;1577766.00;466187.00;3.3844;;;2757372.00;547811.00;5.0334;;;9728.00;4429.00;2.1964;;;419.91;0.00;175.3633;0.4361;2.3945;;
i10;2684318.00;560375.00;4.7902;;;4383283.00;683369.00;6.4142;;;16163.00;5412.00;2.9865;;;721.93;0.00;213.42;0.5604;3.3827;;
i11;2410315.00;725020.00;3.3245;;;4423611.00;840833.00;5.261;;;14444.00;6524.00;2.214;;;675.89;0.00;269.8467;1.5984;2.5047;;
i12;2074079.00;485033.6667;4.2762;;;3621526.00;603959.6667;5.9963;;;12386.00;5116.00;2.421;;;556.23;0.00;193.4567;0.7476;2.8752;;
i13;1855954.00;506050.3333;3.6675;;;3120049.00;637857.3333;4.8915;;;11120.00;5117.00;2.1731;;;487.59;0.00;188.87;0.3966;2.5816;;
i14;4252008.00;1420301.00;2.9937;;;8416097.00;1690460.00;4.9786;;;24249.00;13509.00;1.795;;;1230.81;0.00;540.80;2.1785;2.2759;;
i15;3284625.00;1168837.00;2.8102;;;6117766.00;1380804.00;4.4306;;;19933.00;11046.00;1.8045;;;926.44;0.00;437.07;0.1393;2.1197;;
i16;3697777.00;962898.00;3.8403;;;7009608.00;1190237.00;5.8893;;;22445.00;9099.00;2.4668;;;1058.08;0.00;377.3033;0.924;2.8043;;
i17;--;6084632.00;--;;;--;6909606.00;--;;;--;56517.00;--;;;--;--;2311.9033;9.6008;--;;
i18;10559835.00;3483770.00;3.0312;;;20518828.00;4016814.00;5.1082;;;62948.00;30023.00;2.0967;;;3239.11;0.00;1326.38;1.7374;2.4421;;
i19;--;11907324.00;--;;;--;13306054.00;--;;;--;101644.00;--;;;--;--;4579.5967;19.153;--;;
i20;3954445.00;991525.00;3.9882;;;7280359.00;1232710.00;5.906;;;24252.00;9089.00;2.6683;;;1128.82;0.00;395.0633;1.4193;2.8573;;
i21;--;5091564.00;--;;;--;5817785.00;--;;;--;48266.00;--;;;--;--;1914.7267;10.7877;--;;
i22;--;7762439.00;--;;;--;9041280.00;--;;;--;45515.00;--;;;--;--;2041.6033;689.8681;--;;
i23;--;13119990.3333;--;;;--;14812296.6667;--;;;--;72582.00;--;;;--;--;3387.6033;1197.6043;--;;
i24;--;17332709.00;--;;;--;19819382.00;--;;;--;70379.00;--;;;--;--;3273.8833;28.3976;--;;
i25;--;4967116.3333;--;;;--;5682911.00;--;;;--;27917.6667;--;;;--;--;1235.17;433.1454;--;;
i26;--;14791829.3333;--;;;--;16866755.3333;--;;;--;82582.3333;--;;;--;--;4321.6133;2051.0968;--;;
i27;--;17292649.00;--;;;--;19614293.00;--;;;--;69828.00;--;;;--;--;3219.4233;37.4532;--;;
i28;--;7556376.3333;--;;;--;8837735.6667;--;;;--;42925.00;--;;;--;--;1951.7067;632.3467;--;;
i29;--;5820785.3333;--;;;--;6682163.00;--;;;--;31760.6667;--;;;--;--;1442.5733;493.378;--;;
i30;--;8001703.6667;--;;;--;9335968.00;--;;;--;45994.6667;--;;;--;--;2071.6133;676.9689;--;;
final;;;;4.1656;1.0967;;;;5.8017;0.8292;;;;2.5298;0.4999;;;;;;2.8206;0.4244
