Instance;Megabyte Mean;Megabyte StdDev;MZ Start Constraints Mean;MZ Start Constraints StdDev;MZ Preso Constraints Mean;MZ Preso Constraints StdDev;Constraints R;Constraints Mean;Constraints StdDev;MZ Start Variables Mean;MZ Start Variables StdDev;MZ Preso Variables Mean;MZ Preso Variables StdDev;Variables R;Variables Mean;Variables StdDev;MZ Start Coef Mean;MZ Start Coef StdDev;MZ Preso Coef Mean;MZ Preso Coef StdDev;Coef R;Coef Mean;Coef StdDev;MZ Presolve Time Mean;MZ Presolve Time StdDev
i01;;;32432.00;0.00;13372.00;0.00;2.4254;;;39201.00;0.00;33346.00;0.00;1.1756;;;140944.00;0.00;107685.00;0.00;1.3089;;;0.57;0.0082
i02;;;51650.00;0.00;17118.00;2.8284;3.0173;;;63454.00;0.00;46404.6667;10.3709;1.3674;;;225427.00;0.00;152336.00;29.6985;1.4798;;;0.93;0.0082
i03;;;43838.00;0.00;17882.6667;3.7712;2.4514;;;55774.00;0.00;46994.6667;67.4108;1.1868;;;203558.00;0.00;154754.00;319.6123;1.3154;;;1.1967;0.0047
i04;;;167498.00;0.00;46864.00;0.00;3.5741;;;198673.00;0.00;151838.00;0.00;1.3085;;;691915.00;0.00;497153.00;0.00;1.3918;;;3.4967;0.0386
i05;;;569553.00;0.00;141658.00;0.00;4.0206;;;659866.00;0.00;518854.00;0.00;1.2718;;;2484462.00;0.00;1791508.00;0.00;1.3868;;;18.3033;0.0591
i06;;;274704.00;0.00;92503.3333;8.0139;2.9697;;;331916.00;0.00;290844.3333;6.5997;1.1412;;;1240563.00;0.00;972649.6667;8.0139;1.2754;;;9.1767;0.0309
i07;;;407629.00;0.00;105855.00;0.00;3.8508;;;482498.00;0.00;374643.00;0.00;1.2879;;;1692853.00;0.00;1243625.00;0.00;1.3612;;;11.6967;0.066
i08;;;1800217.00;0.00;448232.00;0.00;4.0163;;;2058187.00;0.00;1819202.00;0.00;1.1314;;;7641746.00;0.00;6209413.00;0.00;1.2307;;;44.6867;0.0704
i09;;;466187.00;0.00;132430.00;0.00;3.5203;;;547811.00;0.00;453245.00;0.00;1.2086;;;1982632.00;0.00;1507833.00;0.00;1.3149;;;11.82;0.0668
i10;;;560375.00;0.00;168502.6667;1.8856;3.3256;;;683369.00;0.00;632982.00;62.2254;1.0796;;;2550805.00;0.00;2158426.3333;173.0055;1.1818;;;23.3367;0.1694
i11;;;725020.00;0.00;189913.00;0.00;3.8176;;;840833.00;0.00;681404.00;0.00;1.234;;;2947515.00;0.00;2256570.00;0.00;1.3062;;;18.31;0.4262
i12;;;485033.6667;0.00;142232.6667;40.8276;3.4101;;;603959.6667;0.00;555360.00;16.2686;1.0875;;;2062122.00;1.4142;1783196.6667;107.0213;1.1564;;;16.63;0.0779
i13;;;506050.3333;0.00;148702.6667;37.7124;3.4031;;;637857.3333;0.00;537472.3333;966.8507;1.1868;;;2284305.00;1.4142;1776717.00;3336.1298;1.2857;;;19.8633;0.1482
i14;;;1420301.00;0.00;325529.3333;296.5134;4.3631;;;1690460.00;0.00;1477276.00;106.066;1.1443;;;5710167.00;0.00;4851041.6667;2605.9242;1.1771;;;34.3533;0.2829
i15;;;1168837.00;0.00;276952.3333;44.7834;4.2204;;;1380804.00;0.00;1111756.00;9734.0319;1.242;;;4897581.00;0.00;3729156.00;37572.8259;1.3133;;;42.5867;0.3675
i16;;;962898.00;0.00;240871.3333;66.5649;3.9976;;;1190237.00;0.00;1043540.3333;176.9036;1.1406;;;3984793.00;0.00;3365083.6667;293.101;1.1842;;;40.6133;0.3997
i17;;;6084632.00;0.00;1516978.00;0.00;4.011;;;6909606.00;0.00;6495540.00;0.00;1.0637;;;26612543.00;0.00;23724915.00;0.00;1.1217;;;19.72;0.1657
i18;;;3483770.00;0.00;792748.6667;0.4714;4.3945;;;4016814.00;0.00;3622306.00;7.7889;1.1089;;;14557648.00;0.00;12933751.00;15.5778;1.1256;;;11.31;0.0374
i19;;;11907324.00;0.00;2467255.00;0.00;4.8261;;;13306054.00;0.00;11700076.00;0.00;1.1373;;;50241369.00;0.00;42549132.00;0.00;1.1808;;;15.9067;0.2859
i20;;;991525.00;0.00;236595.00;72.1249;4.1908;;;1232710.00;0.00;1048234.6667;3.2998;1.176;;;4197988.00;0.00;3406931.6667;418.1358;1.2322;;;50.6767;0.3112
i21;;;5091564.00;0.00;1218385.00;4.2426;4.1789;;;5817785.00;0.00;5218431.00;12.7279;1.1149;;;21519529.00;0.00;18794612.00;25.4558;1.145;;;16.09;0.1715
i22;;;7762439.00;0.00;1857266.00;540.9368;4.1795;;;9041280.00;0.00;7966244.6667;199790.4283;1.1349;;;33103789.6667;613541.4691;28449289.3333;728444.9068;1.1636;;;10.2267;0.4479
i23;;;13119990.3333;0.00;2660593.3333;11758.243;4.9312;;;14812296.6667;0.00;12782037.00;785950.6015;1.1588;;;54784263.6667;723949.1219;46289163.00;2900102.2965;1.1835;;;23.83;10.1682
i24;;;17332709.00;0.00;3349982.6667;0.4714;5.174;;;19819382.00;0.00;16351558.6667;0.4714;1.2121;;;70638367.00;0.00;58361158.3333;0.9428;1.2104;;;21.3533;0.0236
i25;;;4967116.3333;0.00;1179469.3333;470.4617;4.2113;;;5682911.00;0.00;4970091.3333;1036.1471;1.1434;;;19955704.3333;144300.2236;17407226.6667;3506.3068;1.1464;;;6.1467;0.3633
i26;;;14791829.3333;0.00;2919540.6667;2314.5962;5.0665;;;16866755.3333;0.00;14778437.6667;686611.5268;1.1413;;;62021820.3333;764104.7732;53440848.3333;2626817.3107;1.1606;;;26.3433;10.576
i27;;;17292649.00;0.00;3246267.00;0.00;5.3269;;;19614293.00;0.00;16653115.00;0.00;1.1778;;;73070806.00;0.00;60665366.00;0.00;1.2045;;;21.54;0.2255
i28;;;7556376.3333;0.00;1745131.6667;5446.6078;4.33;;;8837735.6667;0.00;7918321.3333;473879.3945;1.1161;;;30916292.3333;640406.3413;27681387.6667;1680293.1301;1.1169;;;10.6133;0.2034
i29;;;5820785.3333;0.00;1331926.3333;1504.2518;4.3702;;;6682163.00;0.00;5837249.6667;4834.2534;1.1447;;;23242973.6667;151005.953;20269897.6667;18601.6224;1.1467;;;7.35;0.2566
i30;;;8001703.6667;0.00;1833839.00;1233.1942;4.3634;;;9335968.00;0.00;8411025.00;530634.1418;1.11;;;32919051.00;588277.4866;29527464.6667;1909974.1405;1.1149;;;10.99;0.4121
final;;;;;;;;3.9979;0.7122;;;;;;1.1711;0.0692;;;;;;1.2307;0.0942;;
