Instance;Model Objective Mean;Model Objective StdDev;Model Objective Best;Model Objective 10Min;Best Official Objective;Solutions Obtained;Memory Errors;Objective R;Objective Mean;Objective StdDev
i01;3846.00;0.00;3846.00;3846.00;3842;3;0;1.001;;
i02;1352.3333;13.0213;1334.00;1360.00;1264;3;0;1.0554;;
i03;10570.00;14.1421;10550.00;10555.00;10490;3;0;1.0057;;
i04;2317.00;0.00;2317.00;2708.00;1884;3;0;1.2298;;
i05;13736.00;0.00;13736.00;13736.00;12760;3;0;1.0765;;
i06;10768.6667;16.0278;10746.00;10913.00;10671;3;0;1.007;;
i07;8407.00;497.8032;8055.00;8055.00;5026;3;0;1.6027;;
i08;--;--;--;--;6291;0;0;--;;
i09;12376.3333;590.3724;11833.00;11850.00;6682;3;0;1.7709;;
i10;25066.6667;172.2563;24830.00;24830.00;20820;3;0;1.1926;;
i11;30029.00;14.1421;30019.00;30019.00;25938;3;0;1.1573;;
i12;15799.3333;79.0457;15713.00;15713.00;12430;3;0;1.2641;;
i13;25047.00;24.3447;25014.00;25014.00;17328;3;0;1.4436;;
i14;22473.6667;668.4516;22001.00;22001.00;9746;3;0;2.2574;;
i15;27180.00;832.4674;26569.00;26569.00;12486;3;0;2.1279;;
i16;76675.00;0.00;76675.00;--;10139;1;0;7.5624;;
i17;--;--;--;--;40535;0;0;--;;
i18;112930.00;1712.1193;110593.00;--;37660;3;0;2.9366;;
i19;--;--;--;--;44587;0;3;--;;
i20;46082.00;0.00;46082.00;46087.00;29098;1;0;1.5837;;
i21;249033.3333;2662.0213;247151.00;--;24703;3;0;10.0049;;
i22;--;--;--;--;47861;0;0;--;;
i23;--;--;--;--;37550;0;1;--;;
i24;--;--;--;--;33221;0;3;--;;
i25;123949.00;429.9209;123645.00;--;11517;3;0;10.7359;;
i26;--;--;--;--;64613;0;3;--;;
i27;--;--;--;--;51828;0;3;--;;
i28;--;--;--;--;75172;0;0;--;;
i29;113871.00;1411.3851;111875.00;--;12475;3;0;8.9679;;
i30;--;--;--;--;37943;0;0;--;;
final;;;;;;;;;3.0492;3.2151
