Instance;Preprocessing Mean;Preprocessing StdDev;Compile Mean;Compile StdDev
i01;0.1817;0.009;12.11;0.0283
i02;0.168;0.0036;18.86;0.0216
i03;0.169;0.005;16.74;0.0748
i04;0.1693;0.0033;59.5867;0.2185
i05;0.1723;0.0017;210.23;0.2758
i06;0.1753;0.0037;109.0167;0.4042
i07;0.1777;0.0021;146.40;0.3234
i08;0.1803;0.005;686.1867;0.6438
i09;0.175;0.0036;175.3633;0.4361
i10;0.178;0.005;213.42;0.5604
i11;0.1787;0.004;269.8467;1.5984
i12;0.1797;0.0034;193.4567;0.7476
i13;0.1733;0.0029;188.87;0.3966
i14;0.1773;0.0039;540.80;2.1785
i15;0.18;0.0043;437.07;0.1393
i16;0.1833;0.0017;377.3033;0.924
i17;0.2063;0.0122;2311.9033;9.6008
i18;0.1903;0.0005;1326.38;1.7374
i19;0.2367;0.0167;4579.5967;19.153
i20;0.2083;0.0132;395.0633;1.4193
i21;0.1897;0.0096;1914.7267;10.7877
i22;0.2027;0.0147;2041.6033;689.8681
i23;0.2253;0.0366;3387.6033;1197.6043
i24;0.2083;0.0109;3273.8833;28.3976
i25;0.21;0.0071;1235.17;433.1454
i26;0.1937;0.0033;4321.6133;2051.0968
i27;0.2123;0.0121;3219.4233;37.4532
i28;0.216;0.0036;1951.7067;632.3467
i29;0.1937;0.0144;1442.5733;493.378
i30;0.189;0.0008;2071.6133;676.9689
