name;gurobi model rows mean;gurobi model rows stddev;gurobi model cols mean;gurobi model cols stddev;gurobi model nonzeros mean;gurobi model nonzeros stddev;gurobi solution count mean;gurobi solution count stddev;gurobi best objective mean;gurobi best objective stddev;gurobi best bound mean;gurobi best bound stddev;gurobi mip mean;gurobi mip stddev;gurobi status;gurobi presolve removed rows mean;gurobi presolve removed rows stddev;gurobi presolve removed cols mean;gurobi presolve removed cols stddev;gurobi presolve removed nonzeros mean;gurobi presolve removed nonzeros stddev;gurobi presolve runtime mean;gurobi presolve runtime stddev;observer runtime model load mean;observer runtime model load stddev;observer runtime preproc mean;observer runtime preproc stddev;observer runtime init gips mean;observer runtime init gips stddev;observer runtime pm mean;observer runtime pm stddev;observer runtime build gips mean;observer runtime build gips stddev;observer runtime build solver mean;observer runtime build solver stddev;observer runtime build mean;observer runtime build stddev;observer runtime solve problem mean;observer runtime solve problem stddev;observer runtime solution application mean;observer runtime solution application stddev;observer runtime gips save mean;observer runtime gips save stddev;observer runtime model validate mean;observer runtime model validate stddev;observer runtime postproc mean;observer runtime postproc stddev;observer runtime export mean;observer runtime export stddev;observer runtime total mean;observer runtime total stddev;script runtime mean;script runtime stddev;out of memory mean;out of memory stddev;preprocessing;total constraints mean;total constraints stddev;redundant constraints mean;redundant constraints stddev;useless constraints mean;useless constraints stddev;constraint cleanup runtime mean;constraint cleanup runtime stddev;solution costs mean;solution costs stddev;solution unscheduled mean;solution unscheduled stddev;solution delay mean;solution delay stddev;solution openOt mean;solution openOt stddev;solution ageMix mean;solution ageMix stddev;solution skill mean;solution skill stddev;solution excess mean;solution excess stddev;solution continuity mean;solution continuity stddev;solution surgeon transfer mean;solution surgeon transfer stddev
i01;108532;0.00;55256;0.00;358677;0.00;10.00;0.00;3868.6667;15.9652;3749.00;1.633;3.0915;0.4311;TIMELIMIT,TIMELIMIT,TIMELIMIT;53696.00;0.00;23954.00;0.00;103882.3333;6.5997;0.8633;0.0125;0.4301;0.0053;0.2265;0.0033;1.9501;0.0214;0.701;0.0268;0.4886;0.019;0.4458;0.0029;1.6364;0.0216;3600.2064;0.0274;0.1236;0.0055;0.1458;0.0057;0.0978;0.0003;-1.00;-1.00;0.1421;0.0058;3604.9759;0.0076;3606.5053;0.0598;0.00;0.00;NO_GT;108753.00;0.00;0.00;0.00;221.00;0.00;0.14;0.0082;3868.6667;15.9652;2800.00;0.00;470.00;16.3299;240.00;0.00;11.6667;10.274;216.6667;38.5861;3.3333;4.714;127.00;1.633;0.00;0.00
i02;111205;0.00;57081;0.00;382671;0.00;10.00;0.00;1355.00;20.0167;1040.00;25.4689;23.2548;1.0671;TIMELIMIT,TIMELIMIT,TIMELIMIT;51215.00;0.00;21901.00;0.00;104983.00;0.00;0.9633;0.0047;0.4351;0.0018;0.2341;0.0009;1.9674;0.0066;0.7054;0.0184;0.5091;0.0102;0.458;0.0079;1.6735;0.0295;3600.2736;0.066;0.1425;0.0101;0.1575;0.003;0.1007;0.002;-1.00;-1.00;0.1411;0.0023;3605.1421;0.0453;3606.6363;0.0505;0.00;0.00;NO_GT;111476.00;0.00;0.00;0.00;271.00;0.00;0.15;0.00;1355.00;20.0167;0.00;0.00;695.00;38.9444;240.00;0.00;16.6667;6.2361;175.00;12.2474;3.3333;4.714;225.00;7.7889;0.00;0.00
i03;129355;0.00;66175;0.00;428057;0.00;10.00;0.00;10553.3333;2.357;10168.3333;2.8674;3.6481;0.0475;TIMELIMIT,TIMELIMIT,TIMELIMIT;66419.00;0.00;28533.6667;0.4714;135798.3333;12.4989;1.1033;0.0047;0.4371;0.0015;0.2639;0.0014;1.9795;0.0091;0.7474;0.0128;0.5682;0.0294;0.5029;0.0133;1.8194;0.0424;3600.2371;0.06;0.1439;0.0063;0.2365;0.0299;0.1259;0.0051;-1.00;-1.00;0.1807;0.0163;3605.4427;0.1484;3606.966;0.0771;0.00;0.00;NO_GT;129507.00;0.00;0.00;0.00;152.00;0.00;0.1833;0.0125;10553.3333;2.357;7600.00;0.00;1800.00;0.00;400.00;0.00;16.6667;10.274;118.3333;2.357;0.00;0.00;618.3333;9.4281;0.00;0.00
i04;455421;0.00;231939;0.00;1709257;0.00;10.00;0.00;2151.00;82.8533;1214.6667;1.2472;43.4421;2.2858;TIMELIMIT,TIMELIMIT,TIMELIMIT;155552.00;0.00;66509.00;0.00;319380.00;0.00;8.33;0.0374;0.4481;0.0071;0.455;0.0051;2.1787;0.0201;2.1583;0.0994;1.6443;0.0337;1.6008;0.0593;5.4044;0.0939;3600.4704;0.006;0.4257;0.0266;0.5543;0.0504;0.2623;0.0214;-1.00;-1.00;0.4237;0.0276;3610.6523;0.1149;3611.9067;0.1315;0.00;0.00;NO_GT;455769.00;0.00;0.00;0.00;348.00;0.00;0.6833;0.0262;2151.00;82.8533;0.00;0.00;1130.00;73.8241;286.6667;9.4281;85.00;7.0711;180.00;5.099;125.00;22.7303;344.3333;3.3993;0.00;0.00
i05;1732122;0.00;877976;0.00;6677011;0.00;10.00;0.00;13176.00;57.3934;12049.0022;317.1649;8.5621;2.0181;TIMELIMIT,TIMELIMIT,TIMELIMIT;555702.00;0.00;237612.00;0.00;1172702.00;26.8701;48.1533;0.1862;0.4539;0.0045;1.2437;0.0626;2.8226;0.056;7.5499;0.2937;5.4485;0.1307;5.8728;0.0842;18.8723;0.3847;3601.2472;0.1289;1.6596;0.1216;1.7042;0.0282;0.7747;0.0499;-1.00;-1.00;1.2779;0.0201;3630.1262;0.4261;3631.424;0.429;0.00;0.00;NO_GT;1732720.00;0.00;0.00;0.00;598.00;0.00;2.58;0.1417;13176.00;57.3934;8500.00;0.00;3816.6667;61.2826;480.00;0.00;10.00;4.0825;36.6667;9.4281;3.3333;4.714;329.3333;9.4634;0.00;0.00
i06;944803;0.00;479290;0.00;3451061;0.00;10.00;0.00;10699.3333;6.549;10455.3333;1.6997;2.2805;0.0444;TIMELIMIT,TIMELIMIT,TIMELIMIT;382502.3333;0.4714;166534.00;0.00;819847.6667;15.7551;20.29;0.1042;0.4587;0.0056;0.9416;0.0135;2.4564;0.0075;3.9963;0.1026;3.1853;0.0564;3.1561;0.0317;10.3388;0.1478;3601.0934;0.1782;0.8693;0.0664;1.0817;0.059;0.5851;0.061;-1.00;-1.00;0.8439;0.0608;3618.7191;0.1674;3619.973;0.1675;0.00;0.00;NO_GT;945285.00;0.00;0.00;0.00;482.00;0.00;1.5233;0.0262;10699.3333;6.549;9900.00;0.00;270.00;8.165;240.00;0.00;11.6667;1.2472;41.6667;1.2472;0.00;0.00;236.00;0.8165;0.00;0.00
i07;1132974;0.00;581442;0.00;4573533;0.00;10.00;0.00;5758.6667;39.2032;2018.6713;6.2348;64.9431;0.3479;TIMELIMIT,TIMELIMIT,TIMELIMIT;317439.00;0.00;129722.00;0.00;722357.00;0.00;27.91;0.192;0.4557;0.0014;0.7789;0.0364;2.6156;0.0409;4.9497;0.0625;3.6627;0.0582;3.9366;0.1033;12.5503;0.1801;3600.9112;0.0415;1.0837;0.0517;1.1097;0.019;0.5075;0.0268;-1.00;-1.00;0.8754;0.0423;3620.9368;0.1618;3622.2433;0.1865;0.00;0.00;NO_GT;1133607.00;0.00;0.00;0.00;633.00;0.00;1.75;0.0535;5758.6667;39.2032;0.00;0.00;2240.00;56.5685;366.6667;9.4281;143.3333;9.4281;543.3333;18.8562;75.00;14.7196;2390.00;36.2859;0.3333;0.4714
i08;6428321;0.00;3256817;0.00;26134669;0.00;0.3333;0.4714;6691249.00;0.00;-1.00;-1.00;100.009;0.00;TIMELIMIT,OUT_OF_MEMORY,OUT_OF_MEMORY;1728872.00;0.00;728788.00;0.00;3879464.00;0.00;208.0533;0.5677;0.4874;0.005;2.8325;0.02;4.5071;0.0229;27.6144;0.4211;19.9584;0.1367;22.1687;0.2261;69.7427;0.2441;3605.0498;0.00;5.7091;0.00;5.0053;0.00;2.3058;0.00;-1.00;-1.00;15.9644;0.00;3711.3523;0.00;1942.1247;1260.142;0.6667;0.4714;NO_GT;6429563.00;0.00;0.00;0.00;1242.00;0.00;10.5667;0.1744;24929.00;0.00;4000.00;0.00;9430.00;0.00;2520.00;0.00;480.00;0.00;5830.00;0.00;701.00;0.00;1548.00;0.00;420.00;0.00
i09;1783732;0.00;905735;0.00;7150427;0.00;10.00;0.00;7864.00;142.4944;2969.00;1.4142;62.2335;0.6743;TIMELIMIT,TIMELIMIT,TIMELIMIT;539000.00;0.00;228990.00;0.00;1218303.00;0.00;50.8533;0.3526;0.4587;0.0089;1.2167;0.0327;2.7591;0.0923;7.2588;0.4369;5.587;0.066;6.05;0.082;18.8972;0.4596;3601.1572;0.0572;1.476;0.0566;1.5705;0.0829;0.7287;0.0059;-1.00;-1.00;1.3897;0.1147;3629.7177;0.2801;3630.9957;0.2692;0.00;0.00;NO_GT;1784261.00;0.00;0.00;0.00;529.00;0.00;2.77;0.0779;7864.00;142.4944;0.00;0.00;4450.00;93.5414;446.6667;9.4281;176.6667;22.4846;150.6667;8.8066;220.00;5.7155;2410.00;34.8807;10.00;14.1421
i10;1856359;0.00;945411;0.00;6933959;0.00;10.00;0.00;22938.3333;115.7824;15116.6667;4.714;34.0969;0.3518;TIMELIMIT,TIMELIMIT,TIMELIMIT;667222.00;0.00;282507.00;0.00;1364059.00;0.00;49.03;0.2041;0.4682;0.0012;1.4111;0.017;2.8218;0.0252;8.0759;0.1635;5.9608;0.153;6.3844;0.0453;20.4224;0.2208;3601.4204;0.1768;1.7584;0.1565;1.9814;0.1108;0.9539;0.0179;-1.00;-1.00;1.7361;0.0929;3633.0417;0.0523;3634.3123;0.0793;0.00;0.00;NO_GT;1856873.00;0.00;0.00;0.00;514.00;0.00;2.9067;0.0665;22938.3333;115.7824;14800.00;141.4214;2596.6667;37.0435;460.00;0.00;273.3333;4.714;1536.6667;26.5623;153.3333;41.8994;3118.3333;22.4846;0.00;0.00
