name;sampleSize;memoryMB (m);memoryMB (sd);memoryMB (max);memoryMB (min);preprocessingTimeS (m);preprocessingTimeS (sd);totalCompileTimeS (m);totalCompileTimeS (sd);presolveTimeS (m);presolveTimeS (sd);originalConstraints (m);originalConstraints (sd);originalConstraints (max);originalVariables (m);originalVariables (sd);originalVariables (max);originalCoefficients (m);originalCoefficients (sd);originalCoefficients (max);presolvedConstraints (m);presolvedConstraints (sd);presolvedVariables (m);presolvedVariables (sd);presolvedCoefficients (m);presolvedCoefficients (sd);numberOfSolutions (m);numberOfSolutions (sd);bestObjective (m);bestObjective (sd);bestObjective (min);bestObjective10m (m);bestObjective10m (sd);bestObjective10m (min);bestBound (m);bestBound (sd);mipGap (m);mipGap (sd);objectiveByValidator (m);objectiveByValidator (sd);foundSolution;solverCrash;compileCrash
i01;3;332.00;0.00;332.00;332.00;0.1817;0.009;12.11;0.0283;0.57;0.0082;32432.00;0.00;32432.00;39201.00;0.00;39201.00;140944.00;0.00;140944.00;13372.00;0.00;33346.00;0.00;107685.00;0.00;10.00;0.00;3846.00;0.00;3846.00;3882.00;25.4558;3846.00;3712.3333;0.9428;3.4754;0.0245;3846.00;0.00;3;0;0
i02;3;479.00;0.00;479.00;479.00;0.168;0.0036;18.86;0.0216;0.93;0.0082;51650.00;0.00;51650.00;63454.00;0.00;63454.00;225427.00;0.00;225427.00;17118.00;2.8284;46404.6667;10.3709;152336.00;29.6985;10.00;0.00;1352.3333;13.0213;1334.00;1369.00;10.6771;1360.00;931.3333;26.5999;31.1192;2.2558;1352.3333;13.0213;3;0;0
i03;3;446.00;0.00;446.00;446.00;0.169;0.005;16.74;0.0748;1.1967;0.0047;43838.00;0.00;43838.00;55774.00;0.00;55774.00;203558.00;0.00;203558.00;17882.6667;3.7712;46994.6667;67.4108;154754.00;319.6123;10.00;0.00;10570.00;14.1421;10550.00;10571.6667;11.7851;10555.00;10066.6667;12.2565;4.7616;0.2436;10570.00;14.1421;3;0;0
i04;3;1639.00;0.00;1639.00;1639.00;0.1693;0.0033;59.5867;0.2185;3.4967;0.0386;167498.00;0.00;167498.00;198673.00;0.00;198673.00;691915.00;0.00;691915.00;46864.00;0.00;151838.00;0.00;497153.00;0.00;10.00;0.00;2317.00;0.00;2317.00;2708.00;0.00;2708.00;1394.00;0.00;39.836;0.00;2317.00;0.00;3;0;0
i05;3;5220.00;0.00;5220.00;5220.00;0.1723;0.0017;210.23;0.2758;18.3033;0.0591;569553.00;0.00;569553.00;659866.00;0.00;659866.00;2484462.00;0.00;2484462.00;141658.00;0.00;518854.00;0.00;1791508.00;0.00;10.00;0.00;13736.00;0.00;13736.00;13736.00;0.00;13736.00;12196.00;0.00;11.2114;0.00;13736.00;0.00;3;0;0
i06;3;2800.00;0.00;2800.00;2800.00;0.1753;0.0037;109.0167;0.4042;9.1767;0.0309;274704.00;0.00;274704.00;331916.00;0.00;331916.00;1240563.00;0.00;1240563.00;92503.3333;8.0139;290844.3333;6.5997;972649.6667;8.0139;10.00;0.00;10768.6667;16.0278;10746.00;10929.00;22.6274;10913.00;10450.3333;1.8856;2.9559;0.1621;10768.6667;16.0278;3;0;0
i07;3;3957.00;0.00;3957.00;3957.00;0.1777;0.0021;146.40;0.3234;11.6967;0.066;407629.00;0.00;407629.00;482498.00;0.00;482498.00;1692853.00;0.00;1692853.00;105855.00;0.00;374643.00;0.00;1243625.00;0.00;10.00;0.00;8407.00;497.8032;8055.00;8407.00;497.8032;8055.00;2055.6667;4.714;75.4624;1.4484;8407.00;497.8032;3;0;0
i08;3;17421.00;0.00;17421.00;17421.00;0.1803;0.005;686.1867;0.6438;44.6867;0.0704;1800217.00;0.00;1800217.00;2058187.00;0.00;2058187.00;7641746.00;0.00;7641746.00;448232.00;0.00;1819202.00;0.00;6209413.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;1574.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i09;3;4429.00;0.00;4429.00;4429.00;0.175;0.0036;175.3633;0.4361;11.82;0.0668;466187.00;0.00;466187.00;547811.00;0.00;547811.00;1982632.00;0.00;1982632.00;132430.00;0.00;453245.00;0.00;1507833.00;0.00;10.00;0.00;12376.3333;590.3724;11833.00;12384.3333;584.6916;11850.00;3624.00;8.0416;70.6536;1.3604;12376.3333;590.3724;3;0;0
i10;3;5412.00;0.00;5412.00;5412.00;0.178;0.005;213.42;0.5604;23.3367;0.1694;560375.00;0.00;560375.00;683369.00;0.00;683369.00;2550805.00;0.00;2550805.00;168502.6667;1.8856;632982.00;62.2254;2158426.3333;173.0055;10.00;0.00;25066.6667;172.2563;24830.00;25068.3333;172.9322;24830.00;14363.3333;81.7856;42.6949;0.6885;25066.6667;172.2563;3;0;0
