name;sampleSize;memoryMB (m);memoryMB (sd);memoryMB (max);memoryMB (min);preprocessingTimeS (m);preprocessingTimeS (sd);totalCompileTimeS (m);totalCompileTimeS (sd);presolveTimeS (m);presolveTimeS (sd);originalConstraints (m);originalConstraints (sd);originalConstraints (max);originalVariables (m);originalVariables (sd);originalVariables (max);originalCoefficients (m);originalCoefficients (sd);originalCoefficients (max);presolvedConstraints (m);presolvedConstraints (sd);presolvedVariables (m);presolvedVariables (sd);presolvedCoefficients (m);presolvedCoefficients (sd);numberOfSolutions (m);numberOfSolutions (sd);bestObjective (m);bestObjective (sd);bestObjective (min);bestObjective10m (m);bestObjective10m (sd);bestObjective10m (min);bestBound (m);bestBound (sd);mipGap (m);mipGap (sd);objectiveByValidator (m);objectiveByValidator (sd);foundSolution;solverCrash;compileCrash
i01;1;1026.00;0.00;1026.00;1026.00;0.20;0.00;41.80;0.00;6.15;0.00;199430.00;0.00;199430.00;272661.00;0.00;272661.00;879949.00;0.00;879949.00;28902.00;0.00;71391.00;0.00;242067.00;0.00;10.00;0.00;3912.00;0.00;3912.00;3912.00;0.00;3912.00;3567.00;0.00;0.0882;0.00;3912.00;0.00;1;0;0
i02;1;1612.00;0.00;1612.00;1612.00;0.16;0.00;64.98;0.00;7.87;0.00;286970.00;0.00;286970.00;426378.00;0.00;426378.00;1373514.00;0.00;1373514.00;45923.00;0.00;112791.00;0.00;386684.00;0.00;10.00;0.00;1346.00;0.00;1346.00;1401.00;0.00;1401.00;969.00;0.00;0.2801;0.00;1346.00;0.00;1;0;0
i03;1;1561.00;0.00;1561.00;1561.00;0.166;0.00;58.87;0.00;9.77;0.00;290699.00;0.00;290699.00;402672.00;0.00;402672.00;1320229.00;0.00;1320229.00;44888.00;0.00;106053.00;0.00;377942.00;0.00;10.00;0.00;10565.00;0.00;10565.00;10610.00;0.00;10610.00;10050.00;0.00;0.0487;0.00;10565.00;0.00;1;0;0
i04;1;4205.00;0.00;4205.00;4205.00;0.175;0.00;161.28;0.00;26.60;0.00;687315.00;0.00;687315.00;1151434.00;0.00;1151434.00;3836761.00;0.00;3836761.00;148006.00;0.00;330689.00;0.00;1231746.00;0.00;10.00;0.00;2779.00;0.00;2779.00;0.00;0.00;-1.00;1153.00;0.00;0.5851;0.00;2779.00;0.00;1;0;0
i05;1;12095.00;0.00;12095.00;12095.00;0.221;0.00;535.41;0.00;103.05;0.00;1998983.00;0.00;1998983.00;3392458.00;0.00;3392458.00;12265543.00;0.00;12265543.00;521981.00;0.00;1223013.00;0.00;5062177.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;12138.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i06;1;9158.00;0.00;9158.00;9158.00;0.173;0.00;363.39;0.00;67.73;0.00;1543181.00;0.00;1543181.00;2437164.00;0.00;2437164.00;8837082.00;0.00;8837082.00;297326.00;0.00;648018.00;0.00;2623477.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;10304.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i07;1;8821.00;0.00;8821.00;8821.00;0.176;0.00;389.41;0.00;54.97;0.00;1438134.00;0.00;1438134.00;2598325.00;0.00;2598325.00;9236394.00;0.00;9236394.00;324932.00;0.00;829329.00;0.00;3253964.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;1731.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i08;1;41380.00;0.00;41380.00;41380.00;0.184;0.00;1970.52;0.00;408.74;0.00;6802956.00;0.00;6802956.00;12271557.00;0.00;12271557.00;50365600.00;0.00;50365600.00;1570576.00;0.00;3920272.00;0.00;17416227.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;1779.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i09;1;9728.00;0.00;9728.00;9728.00;0.185;0.00;419.91;0.00;65.83;0.00;1577766.00;0.00;1577766.00;2757372.00;0.00;2757372.00;9910287.00;0.00;9910287.00;407700.00;0.00;968159.00;0.00;3878624.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;1744.00;0.00;0.00;0.00;0.00;0.00;0;0;0
i10;1;16163.00;0.00;16163.00;16163.00;0.201;0.00;721.93;0.00;120.49;0.00;2684318.00;0.00;2684318.00;4383283.00;0.00;4383283.00;17313298.00;0.00;17313298.00;600815.00;0.00;1312539.00;0.00;5974272.00;0.00;0.00;0.00;0.00;0.00;-1.00;0.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0
