name;sampleSize;memoryMB (m);memoryMB (sd);memoryMB (max);preprocessingTimeS (m);preprocessingTimeS (sd);totalCompileTimeS (m);totalCompileTimeS (sd);presolveTimeS (m);presolveTimeS (sd);originalConstraints (m);originalConstraints (sd);originalConstraints (max);originalVariables (m);originalVariables (sd);originalVariables (max);originalCoefficients (m);originalCoefficients (sd);originalCoefficients (max);presolvedConstraints (m);presolvedConstraints (sd);presolvedVariables (m);presolvedVariables (sd);presolvedCoefficients (m);presolvedCoefficients (sd);numberOfSolutions (m);numberOfSolutions (sd);bestObjective (m);bestObjective (sd);BestObjective (max);bestBound (m);bestBound (sd);mipGap (m);mipGap (sd);objectiveByValidator (m);objectiveByValidator (sd);solverCrash;compileCrash
i01;3;332.00;0.00;332.00;0.1817;0.009;12.11;0.0283;0.57;0.0082;32432.00;0.00;32432.00;39201.00;0.00;39201.00;140944.00;0.00;140944.00;13372.00;0.00;33346.00;0.00;107685.00;0.00;10.00;0.00;3846.00;0.00;3846.00;3712.3333;0.9428;0.0348;0.0002;3846.00;0.00;0;0
i02;3;479.00;0.00;479.00;0.168;0.0036;18.86;0.0216;0.93;0.0082;51650.00;0.00;51650.00;63454.00;0.00;63454.00;225427.00;0.00;225427.00;17118.00;2.8284;46404.6667;10.3709;152336.00;29.6985;10.00;0.00;1352.3333;13.0213;1334.00;931.3333;26.5999;0.3112;0.0225;1352.3333;13.0213;0;0
i03;3;446.00;0.00;446.00;0.169;0.005;16.74;0.0748;1.1967;0.0047;43838.00;0.00;43838.00;55774.00;0.00;55774.00;203558.00;0.00;203558.00;17882.6667;3.7712;46994.6667;67.4108;154754.00;319.6123;10.00;0.00;10570.00;14.1421;10550.00;10066.6667;12.2565;0.0476;0.0024;10570.00;14.1421;0;0
i04;3;1639.00;0.00;1639.00;0.1693;0.0033;59.5867;0.2185;3.4967;0.0386;167498.00;0.00;167498.00;198673.00;0.00;198673.00;691915.00;0.00;691915.00;46864.00;0.00;151838.00;0.00;497153.00;0.00;10.00;0.00;2317.00;0.00;2317.00;1394.00;0.00;0.3984;0.00;2317.00;0.00;0;0
i05;3;5220.00;0.00;5220.00;0.1723;0.0017;210.23;0.2758;18.3033;0.0591;569553.00;0.00;569553.00;659866.00;0.00;659866.00;2484462.00;0.00;2484462.00;141658.00;0.00;518854.00;0.00;1791508.00;0.00;10.00;0.00;13736.00;0.00;13736.00;12196.00;0.00;0.1121;0.00;13736.00;0.00;0;0
i06;3;2800.00;0.00;2800.00;0.1753;0.0037;109.0167;0.4042;9.1767;0.0309;274704.00;0.00;274704.00;331916.00;0.00;331916.00;1240563.00;0.00;1240563.00;92503.3333;8.0139;290844.3333;6.5997;972649.6667;8.0139;10.00;0.00;10768.6667;16.0278;10746.00;10450.3333;1.8856;0.0296;0.0016;10768.6667;16.0278;0;0
i07;3;3957.00;0.00;3957.00;0.1777;0.0021;146.40;0.3234;11.6967;0.066;407629.00;0.00;407629.00;482498.00;0.00;482498.00;1692853.00;0.00;1692853.00;105855.00;0.00;374643.00;0.00;1243625.00;0.00;10.00;0.00;8407.00;497.8032;8055.00;2055.6667;4.714;0.7546;0.0145;8407.00;497.8032;0;0
i08;3;17421.00;0.00;17421.00;0.1803;0.005;686.1867;0.6438;44.6867;0.0704;1800217.00;0.00;1800217.00;2058187.00;0.00;2058187.00;7641746.00;0.00;7641746.00;448232.00;0.00;1819202.00;0.00;6209413.00;0.00;0.00;0.00;-1.00;0.00;-1.00;1574.00;0.00;-1.00;0.00;-1.00;0.00;0;0
i09;3;4429.00;0.00;4429.00;0.175;0.0036;175.3633;0.4361;11.82;0.0668;466187.00;0.00;466187.00;547811.00;0.00;547811.00;1982632.00;0.00;1982632.00;132430.00;0.00;453245.00;0.00;1507833.00;0.00;10.00;0.00;12376.3333;590.3724;11833.00;3624.00;8.0416;0.7066;0.0136;12376.3333;590.3724;0;0
i10;3;5412.00;0.00;5412.00;0.178;0.005;213.42;0.5604;23.3367;0.1694;560375.00;0.00;560375.00;683369.00;0.00;683369.00;2550805.00;0.00;2550805.00;168502.6667;1.8856;632982.00;62.2254;2158426.3333;173.0055;10.00;0.00;25066.6667;172.2563;24830.00;14363.3333;81.7856;0.4269;0.0069;25066.6667;172.2563;0;0
i11;3;6524.00;0.00;6524.00;0.1787;0.004;269.8467;1.5984;18.31;0.4262;725020.00;0.00;725020.00;840833.00;0.00;840833.00;2947515.00;0.00;2947515.00;189913.00;0.00;681404.00;0.00;2256570.00;0.00;10.00;0.00;30029.00;14.1421;30019.00;25164.6667;1.8856;0.162;0.0004;30029.00;14.1421;0;0
i12;3;5116.00;0.00;5116.00;0.1797;0.0034;193.4567;0.7476;16.63;0.0779;485033.6667;0.4714;485033.00;603959.6667;0.4714;603959.00;2062122.00;1.4142;2062120.00;142232.6667;40.8276;555360.00;16.2686;1783196.6667;107.0213;10.00;0.00;15799.3333;79.0457;15713.00;6480.00;7.2572;0.5898;0.0018;15796.00;74.6503;0;0
i13;3;5117.00;0.00;5117.00;0.1733;0.0029;188.87;0.3966;19.8633;0.1482;506050.3333;0.4714;506050.00;637857.3333;0.4714;637857.00;2284305.00;1.4142;2284304.00;148702.6667;37.7124;537472.3333;966.8507;1776717.00;3336.1298;10.00;0.00;25047.00;24.3447;25014.00;8915.6667;75.5484;0.6441;0.0027;25047.00;24.3447;0;0
i14;3;13509.00;0.00;13509.00;0.1773;0.0039;540.80;2.1785;34.3533;0.2829;1420301.00;0.00;1420301.00;1690460.00;0.00;1690460.00;5710167.00;0.00;5710167.00;325529.3333;296.5134;1477276.00;106.066;4851041.6667;2605.9242;10.00;0.00;22473.6667;668.4516;22001.00;5322.00;0.00;0.763;0.0069;22473.6667;668.4516;0;0
i15;3;11046.00;0.00;11046.00;0.18;0.0043;437.07;0.1393;42.5867;0.3675;1168837.00;0.00;1168837.00;1380804.00;0.00;1380804.00;4897581.00;0.00;4897581.00;276952.3333;44.7834;1111756.00;9734.0319;3729156.00;37572.8259;10.00;0.00;27180.00;832.4674;26569.00;5931.00;0.00;0.7816;0.0065;27180.00;832.4674;0;0
i16;3;9099.00;0.00;9099.00;0.1833;0.0017;377.3033;0.924;40.6133;0.3997;962898.00;0.00;962898.00;1190237.00;0.00;1190237.00;3984793.00;0.00;3984793.00;240871.3333;66.5649;1043540.3333;176.9036;3365083.6667;293.101;0.3333;0.4714;25557.6667;36145.413;-1.00;4068.00;0.00;-0.351;0.9178;8600.3333;12164.1223;0;0
i17;3;56517.00;0.00;56517.00;0.2063;0.0122;2311.9033;9.6008;19.72;0.1657;6084632.00;0.00;6084632.00;6909606.00;0.00;6909606.00;26612543.00;0.00;26612543.00;1516978.00;0.00;6495540.00;0.00;23724915.00;0.00;0.00;0.00;-1.00;0.00;-1.00;17640.00;0.00;-1.00;0.00;-1.00;0.00;0;0
i18;3;30023.00;0.00;30023.00;0.1903;0.0005;1326.38;1.7374;11.31;0.0374;3483770.00;0.00;3483770.00;4016814.00;0.00;4016814.00;14557648.00;0.00;14557648.00;792748.6667;0.4714;3622306.00;7.7889;12933751.00;15.5778;1.00;0.00;112930.00;1712.1193;110593.00;35983.00;0.00;0.6813;0.0049;59817.3333;1391.5469;0;0
i19;3;101644.00;0.00;101644.00;0.2367;0.0167;4579.5967;19.153;15.9067;0.2859;11907324.00;0.00;11907324.00;13306054.00;0.00;13306054.00;50241369.00;0.00;50241369.00;2467255.00;0.00;11700076.00;0.00;42549132.00;0.00;0.00;0.00;-1.00;0.00;-1.00;-1.00;0.00;-1.00;0.00;-1.00;0.00;3;0
i20;3;9089.00;0.00;9089.00;0.2083;0.0132;395.0633;1.4193;50.6767;0.3112;991525.00;0.00;991525.00;1232710.00;0.00;1232710.00;4197988.00;0.00;4197988.00;236595.00;72.1249;1048234.6667;3.2998;3406931.6667;418.1358;3.3333;4.714;15360.00;21723.7345;-1.00;20500.00;138.5929;-0.4802;0.7351;15359.00;21722.3203;0;0
i21;3;48266.00;0.00;48266.00;0.1897;0.0096;1914.7267;10.7877;16.09;0.1715;5091564.00;0.00;5091564.00;5817785.00;0.00;5817785.00;21519529.00;0.00;21519529.00;1218385.00;4.2426;5218431.00;12.7279;18794612.00;25.4558;1.00;0.00;249033.3333;2662.0213;247151.00;8871.6667;923.0101;0.9644;0.0033;65244.6667;1340.2031;0;0
i22;1;69793.00;0.00;69793.00;0.189;0.00;3017.22;0.00;10.86;0.00;7616671.00;0.00;7616671.00;8694578.00;0.00;8694578.00;32236111.00;0.00;32236111.00;1856501.00;0.00;8248791.00;0.00;29479466.00;0.00;0.00;0.00;-1.00;0.00;-1.00;25135.00;0.00;-1.00;0.00;-1.00;0.00;0;0
i23;1;116534.00;0.00;116534.00;0.276;0.00;5081.25;0.00;38.21;0.00;12939695.00;0.00;12939695.00;14400534.00;0.00;14400534.00;53760445.00;0.00;53760445.00;2677222.00;0.00;13893539.00;0.00;50390527.00;0.00;0.00;0.00;-1.00;0.00;-1.00;-1.00;0.00;-1.00;0.00;-1.00;0.00;1;0
i25;1;42259.00;0.00;42259.00;0.204;0.00;1847.73;0.00;6.66;0.00;4935213.00;0.00;4935213.00;5601343.00;0.00;5601343.00;19751633.00;0.00;19751633.00;1178804.00;0.00;4968626.00;0.00;17402268.00;0.00;1.00;0.00;124557.00;0.00;124557.00;4488.00;0.00;0.964;0.00;33876.00;0.00;0;0
i26;1;132551.00;0.00;132551.00;0.19;0.00;7222.27;0.00;41.30;0.00;14603030.00;0.00;14603030.00;16429990.00;0.00;16429990.00;60941213.00;0.00;60941213.00;2922814.00;0.00;15749453.00;0.00;57155729.00;0.00;0.00;0.00;-1.00;0.00;-1.00;-1.00;0.00;-1.00;0.00;-1.00;0.00;1;0
i28;1;69667.00;0.00;69667.00;0.221;0.00;2845.97;0.00;10.90;0.00;7326149.00;0.00;7326149.00;8462703.00;0.00;8462703.00;30010621.00;0.00;30010621.00;1737429.00;0.00;8588488.00;0.00;30057681.00;0.00;0.00;0.00;-1.00;0.00;-1.00;65888.00;0.00;-1.00;0.00;-1.00;0.00;0;0
i29;1;50780.00;0.00;50780.00;0.214;0.00;2140.24;0.00;7.71;0.00;5779312.00;0.00;5779312.00;6596059.00;0.00;6596059.00;23029419.00;0.00;23029419.00;1329799.00;0.00;5830413.00;0.00;20243591.00;0.00;1.00;0.00;111875.00;0.00;111875.00;6413.00;0.00;0.9427;0.00;62000.00;0.00;0;0
i30;1;75356.00;0.00;75356.00;0.189;0.00;3028.88;0.00;11.56;0.00;7824267.00;0.00;7824267.00;8996668.00;0.00;8996668.00;32087101.00;0.00;32087101.00;1835583.00;0.00;9161455.00;0.00;32228576.00;0.00;0.00;0.00;-1.00;0.00;-1.00;3607.00;0.00;-1.00;0.00;-1.00;0.00;0;0
