name;sampleSize;memoryMB;preprocessingTimeS mean;preprocessingTimeS stddev;totalCompileTimeS mean;totalCompileTimeS stddev;presolveTimeS mean;presolveTimeS stddev;originalConstraints mean;originalConstraints stddev;originalVariables mean;originalVariables stddev;originalCoefficients mean;originalCoefficients stddev;presolvedConstraints mean;presolvedConstraints stddev;presolvedVariables mean;presolvedVariables stddev;presolvedCoefficients mean;presolvedCoefficients stddev;numberOfSolutions mean;numberOfSolutions stddev;bestObjective mean;bestObjective stddev;bestBound mean;bestBound stddev;mipGap mean;mipGap stddev;solverCrash
i01;3;332;0.1817;0.0090;12.1100;0.0283;0.5700;0.0082;32,432.0000;0.0000;39,201.0000;0.0000;140,944.0000;0.0000;13,372.0000;0.0000;33,346.0000;0.0000;107,685.0000;0.0000;10.0000;0.0000;3,846.0000;0.0000;3,712.3333;0.9428;0.0348;0.0002;0
i02;3;479;0.1680;0.0036;18.8600;0.0216;0.9300;0.0082;51,650.0000;0.0000;63,454.0000;0.0000;225,427.0000;0.0000;17,118.0000;2.8284;46,404.6667;10.3709;152,336.0000;29.6985;10.0000;0.0000;1,352.3333;13.0213;931.3333;26.5999;0.3112;0.0226;0
i03;3;446;0.1690;0.0050;16.7400;0.0748;1.1967;0.0047;43,838.0000;0.0000;55,774.0000;0.0000;203,558.0000;0.0000;17,882.6667;3.7712;46,994.6667;67.4108;154,754.0000;319.6123;10.0000;0.0000;10,570.0000;14.1421;10,066.6667;12.2565;0.0476;0.0024;0
i04;3;1639;0.1693;0.0033;59.5867;0.2185;3.4967;0.0386;167,498.0000;0.0000;198,673.0000;0.0000;691,915.0000;0.0000;46,864.0000;0.0000;151,838.0000;0.0000;497,153.0000;0.0000;10.0000;0.0000;2,317.0000;0.0000;1,394.0000;0.0000;0.3984;0.0000;0
i05;3;5220;0.1723;0.0017;210.2300;0.2758;18.3033;0.0591;569,553.0000;0.0000;659,866.0000;0.0000;2,484,462.0000;0.0000;141,658.0000;0.0000;518,854.0000;0.0000;1,791,508.0000;0.0000;10.0000;0.0000;13,736.0000;0.0000;12,196.0000;0.0000;0.1121;0.0000;0
i06;3;2800;0.1753;0.0037;109.0167;0.4042;9.1767;0.0309;274,704.0000;0.0000;331,916.0000;0.0000;1,240,563.0000;0.0000;92,503.3333;8.0139;290,844.3333;6.5997;972,649.6667;8.0139;10.0000;0.0000;10,768.6667;16.0278;10,450.3333;1.8856;0.0296;0.0016;0
i07;3;3957;0.1777;0.0021;146.4000;0.3234;11.6967;0.0660;407,629.0000;0.0000;482,498.0000;0.0000;1,692,853.0000;0.0000;105,855.0000;0.0000;374,643.0000;0.0000;1,243,625.0000;0.0000;10.0000;0.0000;8,407.0000;497.8032;2,055.6667;4.7140;0.7546;0.0145;0
i08;3;17421;0.1803;0.0050;686.1867;0.6438;44.6867;0.0704;1,800,217.0000;0.0000;2,058,187.0000;0.0000;7,641,746.0000;0.0000;448,232.0000;0.0000;1,819,202.0000;0.0000;6,209,413.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1,574.0000;0.0000;0.0000;0.0000;0
i09;3;4429;0.1750;0.0036;175.3633;0.4361;11.8200;0.0668;466,187.0000;0.0000;547,811.0000;0.0000;1,982,632.0000;0.0000;132,430.0000;0.0000;453,245.0000;0.0000;1,507,833.0000;0.0000;10.0000;0.0000;12,376.3333;590.3724;3,624.0000;8.0416;0.7065;0.0136;0
i10;3;5412;0.1780;0.0050;213.4200;0.5604;23.3367;0.1694;560,375.0000;0.0000;683,369.0000;0.0000;2,550,805.0000;0.0000;168,502.6667;1.8856;632,982.0000;62.2254;2,158,426.3333;173.0055;10.0000;0.0000;25,066.6667;172.2563;14,363.3333;81.7856;0.4269;0.0069;0
i11;3;6524;0.1787;0.0040;269.8467;1.5984;18.3100;0.4262;725,020.0000;0.0000;840,833.0000;0.0000;2,947,515.0000;0.0000;189,913.0000;0.0000;681,404.0000;0.0000;2,256,570.0000;0.0000;10.0000;0.0000;30,029.0000;14.1421;25,164.6667;1.8856;0.1620;0.0005;0
i12;3;5116;0.1797;0.0034;193.4567;0.7476;16.6300;0.0779;485,033.6667;0.4714;603,959.6667;0.4714;2,062,122.0000;1.4142;142,232.6667;40.8276;555,360.0000;16.2686;1,783,196.6667;107.0213;10.0000;0.0000;15,799.3333;79.0457;6,480.0000;7.2572;0.5898;0.0018;0
i13;3;5117;0.1733;0.0029;188.8700;0.3966;19.8633;0.1482;506,050.3333;0.4714;637,857.3333;0.4714;2,284,305.0000;1.4142;148,702.6667;37.7124;537,472.3333;966.8507;1,776,717.0000;3,336.1298;10.0000;0.0000;25,047.0000;24.3447;8,915.6667;75.5484;0.6440;0.0027;0
i14;3;13509;0.1773;0.0039;540.8000;2.1785;34.3533;0.2829;1,420,301.0000;0.0000;1,690,460.0000;0.0000;5,710,167.0000;0.0000;325,529.3333;296.5134;1,477,276.0000;106.0660;4,851,041.6667;2,605.9242;10.0000;0.0000;22,473.6667;668.4516;5,322.0000;0.0000;0.7630;0.0069;0
i15;3;11046;0.1800;0.0043;437.0700;0.1393;42.5867;0.3675;1,168,837.0000;0.0000;1,380,804.0000;0.0000;4,897,581.0000;0.0000;276,952.3333;44.7834;1,111,756.0000;9,734.0319;3,729,156.0000;37,572.8259;10.0000;0.0000;27,180.0000;832.4674;5,931.0000;0.0000;0.7816;0.0065;0
i16;3;9099;0.1833;0.0017;377.3033;0.9240;40.6133;0.3997;962,898.0000;0.0000;1,190,237.0000;0.0000;3,984,793.0000;0.0000;240,871.3333;66.5649;1,043,540.3333;176.9036;3,365,083.6667;293.1010;0.3333;0.4714;25,558.3333;36,144.9416;4,068.0000;0.0000;0.3156;0.4464;0
i17;3;56517;0.2063;0.0122;2,311.9033;9.6008;19.7200;0.1657;6,084,632.0000;0.0000;6,909,606.0000;0.0000;26,612,543.0000;0.0000;1,516,978.0000;0.0000;6,495,540.0000;0.0000;23,724,915.0000;0.0000;0.0000;0.0000;0.0000;0.0000;17,640.0000;0.0000;0.0000;0.0000;0
